,time,[V],[V]
0,0.0,0.02,0.72
1,0.2,0.10,0.70
2,0.4,0.20,0.68
3,0.6,0.30,0.64
4,0.8,0.38,0.60
5,1.0,0.48,0.58
6,1.2,0.56,0.54
7,1.4,0.64,0.50
8,1.6,0.72,0.46
9,1.8,0.80,0.40
10,2.0,0.88,0.36
11,2.2,0.96,0.32
12,2.4,1.02,0.26
13,2.6,1.10,0.22
14,2.8,1.16,0.18
15,3.0,1.22,0.12
16,3.2,1.26,0.08
17,3.4,1.32,0.02
18,3.6,1.36,-0.02
19,3.8,1.40,-0.08
20,4.0,1.44,-0.12
21,4.2,1.46,-0.16
22,4.4,1.50,-0.22
23,4.6,1.52,-0.26
24,4.8,1.52,-0.30
25,5.0,1.52,-0.34
26,5.2,1.52,-0.38
27,5.4,1.52,-0.42
28,5.6,1.52,-0.46
29,5.8,1.50,-0.50
30,6.0,1.46,-0.54
31,6.2,1.44,-0.56
32,6.4,1.40,-0.60
33,6.6,1.36,-0.62
34,6.8,1.32,-0.66
35,7.0,1.26,-0.68
36,7.2,1.20,-0.70
37,7.4,1.14,-0.72
38,7.6,1.06,-0.74
39,7.8,1.00,-0.76
40,8.0,0.92,-0.76
41,8.2,0.84,-0.78
42,8.4,0.74,-0.78
43,8.6,0.66,-0.78
44,8.8,0.56,-0.78
45,9.0,0.48,-0.78
46,9.2,0.38,-0.78
47,9.4,0.28,-0.78
48,9.6,0.18,-0.76
49,9.8,0.08,-0.74
50,10.0,-0.02,-0.72
51,10.2,-0.10,-0.70
52,10.4,-0.20,-0.68
53,10.6,-0.30,-0.64
54,10.8,-0.38,-0.62
55,11.0,-0.48,-0.58
56,11.2,-0.56,-0.54
57,11.4,-0.64,-0.50
58,11.6,-0.72,-0.46
59,11.8,-0.80,-0.42
60,12.0,-0.88,-0.36
61,12.2,-0.96,-0.32
62,12.4,-1.02,-0.28
63,12.6,-1.10,-0.22
64,12.8,-1.16,-0.18
65,13.0,-1.22,-0.12
66,13.2,-1.26,-0.08
67,13.4,-1.32,-0.04
68,13.6,-1.36,0.02
69,13.8,-1.40,0.06
70,14.0,-1.44,0.12
71,14.2,-1.48,0.16
72,14.4,-1.50,0.20
73,14.6,-1.52,0.24
74,14.8,-1.52,0.30
75,15.0,-1.54,0.34
76,15.2,-1.52,0.38
77,15.4,-1.52,0.42
78,15.6,-1.52,0.46
79,15.8,-1.50,0.48
80,16.0,-1.48,0.52
81,16.2,-1.44,0.56
82,16.4,-1.40,0.58
83,16.6,-1.36,0.62
84,16.8,-1.32,0.64
85,17.0,-1.26,0.66
86,17.2,-1.20,0.68
87,17.4,-1.14,0.72
88,17.6,-1.06,0.72
89,17.8,-1.00,0.74
90,18.0,-0.92,0.76
91,18.2,-0.84,0.76
92,18.4,-0.74,0.78
93,18.6,-0.66,0.78
94,18.8,-0.56,0.78
95,19.0,-0.48,0.78
96,19.2,-0.38,0.78
97,19.4,-0.28,0.76
98,19.6,-0.18,0.76
99,19.8,-0.08,0.74
100,20.0,0.02,0.72
101,20.2,0.10,0.70
102,20.4,0.20,0.68
