,time,[V],[V]
0,0.0,0.02,0.48
1,0.2,0.22,0.44
2,0.4,0.42,0.40
3,0.6,0.62,0.34
4,0.8,0.80,0.28
5,1.0,0.96,0.20
6,1.2,1.12,0.14
7,1.4,1.26,0.08
8,1.6,1.40,0.00
9,1.8,1.50,-0.06
10,2.0,1.58,-0.14
11,2.2,1.62,-0.20
12,2.4,1.66,-0.26
13,2.6,1.66,-0.32
14,2.8,1.62,-0.36
15,3.0,1.58,-0.42
16,3.2,1.50,-0.46
17,3.4,1.40,-0.50
18,3.6,1.28,-0.52
19,3.8,1.14,-0.54
20,4.0,0.98,-0.56
21,4.2,0.80,-0.56
22,4.4,0.60,-0.56
23,4.6,0.40,-0.54
24,4.8,0.20,-0.52
25,5.0,-0.02,-0.48
26,5.2,-0.22,-0.44
27,5.4,-0.42,-0.40
28,5.6,-0.62,-0.34
29,5.8,-0.80,-0.28
30,6.0,-0.98,-0.22
31,6.2,-1.14,-0.16
32,6.4,-1.28,-0.08
33,6.6,-1.40,-0.02
34,6.8,-1.50,0.06
35,7.0,-1.58,0.12
36,7.2,-1.62,0.20
37,7.4,-1.66,0.26
38,7.6,-1.66,0.30
39,7.8,-1.64,0.36
40,8.0,-1.58,0.40
41,8.2,-1.50,0.44
42,8.4,-1.40,0.48
43,8.6,-1.28,0.52
44,8.8,-1.14,0.54
45,9.0,-0.98,0.54
46,9.2,-0.80,0.54
47,9.4,-0.60,0.54
48,9.6,-0.40,0.54
49,9.8,-0.20,0.52
50,10.0,0.02,0.48
51,10.2,0.22,0.44
52,10.4,0.42,0.40
53,10.6,0.62,0.34
54,10.8,0.80,0.28
55,11.0,0.96,0.22
56,11.2,1.12,0.14
57,11.4,1.26,0.08
58,11.6,1.40,0.00
59,11.8,1.50,-0.06
60,12.0,1.58,-0.14
61,12.2,1.62,-0.20
62,12.4,1.66,-0.26
63,12.6,1.66,-0.32
64,12.8,1.64,-0.36
65,13.0,1.58,-0.42
66,13.2,1.50,-0.46
67,13.4,1.40,-0.50
68,13.6,1.28,-0.52
69,13.8,1.14,-0.54
70,14.0,0.98,-0.56
71,14.2,0.80,-0.56
72,14.4,0.60,-0.56
73,14.6,0.40,-0.54
74,14.8,0.20,-0.52
75,15.0,-0.02,-0.48
76,15.2,-0.22,-0.44
77,15.4,-0.42,-0.40
78,15.6,-0.62,-0.34
79,15.8,-0.80,-0.28
80,16.0,-0.98,-0.22
81,16.2,-1.14,-0.16
82,16.4,-1.28,-0.08
83,16.6,-1.40,-0.02
84,16.8,-1.50,0.06
85,17.0,-1.58,0.12
86,17.2,-1.62,0.20
