,time,[V],[V]
0,0.0,0.02,-0.12
1,0.2,0.02,-0.36
2,0.4,0.04,-0.58
3,0.6,0.06,-0.80
4,0.8,0.08,-1.00
5,1.0,0.10,-1.18
6,1.2,0.12,-1.36
7,1.4,0.12,-1.50
8,1.6,0.14,-1.62
9,1.8,0.14,-1.72
10,2.0,0.14,-1.80
11,2.2,0.16,-1.84
12,2.4,0.16,-1.84
13,2.6,0.16,-1.84
14,2.8,0.14,-1.78
15,3.0,0.14,-1.72
16,3.2,0.14,-1.62
17,3.4,0.12,-1.50
18,3.6,0.12,-1.34
19,3.8,0.10,-1.18
20,4.0,0.08,-0.98
21,4.2,0.06,-0.78
22,4.4,0.04,-0.56
23,4.6,0.02,-0.34
24,4.8,0.00,-0.10
25,5.0,-0.02,0.12
26,5.2,-0.04,0.34
27,5.4,-0.06,0.58
28,5.6,-0.06,0.78
29,5.8,-0.08,0.98
30,6.0,-0.10,1.18
31,6.2,-0.12,1.34
32,6.4,-0.12,1.50
33,6.6,-0.14,1.62
34,6.8,-0.14,1.72
35,7.0,-0.16,1.78
36,7.2,-0.16,1.82
37,7.4,-0.16,1.84
38,7.6,-0.16,1.82
39,7.8,-0.16,1.78
40,8.0,-0.14,1.70
41,8.2,-0.14,1.60
42,8.4,-0.12,1.48
43,8.6,-0.12,1.34
44,8.8,-0.10,1.16
45,9.0,-0.08,0.98
46,9.2,-0.06,0.78
47,9.4,-0.04,0.56
48,9.6,-0.02,0.34
49,9.8,0.00,0.10
50,10.0,0.02,-0.12
51,10.2,0.04,-0.36
52,10.4,0.04,-0.58
53,10.6,0.06,-0.80
54,10.8,0.08,-1.00
55,11.0,0.10,-1.18
56,11.2,0.12,-1.36
57,11.4,0.12,-1.50
58,11.6,0.14,-1.62
59,11.8,0.14,-1.72
60,12.0,0.16,-1.80
61,12.2,0.16,-1.84
62,12.4,0.16,-1.84
63,12.6,0.16,-1.84
64,12.8,0.14,-1.78
65,13.0,0.14,-1.72
66,13.2,0.14,-1.62
67,13.4,0.12,-1.50
68,13.6,0.12,-1.34
69,13.8,0.10,-1.18
70,14.0,0.08,-0.98
71,14.2,0.06,-0.78
72,14.4,0.04,-0.56
73,14.6,0.02,-0.34
74,14.8,0.00,-0.10
75,15.0,-0.02,0.12
76,15.2,-0.04,0.34
77,15.4,-0.06,0.58
78,15.6,-0.06,0.78
79,15.8,-0.08,0.98
80,16.0,-0.10,1.18
81,16.2,-0.12,1.34
82,16.4,-0.12,1.50
83,16.6,-0.14,1.62
84,16.8,-0.14,1.72
85,17.0,-0.16,1.78
86,17.2,-0.16,1.82
87,17.4,-0.16,1.84
88,17.6,-0.16,1.82
89,17.8,-0.16,1.78
90,18.0,-0.14,1.70
91,18.2,-0.14,1.60
92,18.4,-0.12,1.48
93,18.6,-0.12,1.34
94,18.8,-0.10,1.16
95,19.0,-0.08,0.98
96,19.2,-0.06,0.78
97,19.4,-0.04,0.56
98,19.6,-0.02,0.34
99,19.8,0.00,0.10
100,20.0,0.02,-0.12
101,20.2,0.02,-0.36
102,20.4,0.04,-0.58
103,20.6,0.06,-0.80
104,20.8,0.08,-1.00
105,21.0,0.10,-1.18
106,21.2,0.12,-1.36
107,21.4,0.12,-1.50
108,21.6,0.14,-1.62
