,time,[V],[V]
0,0.0,0.00,0.54
1,0.2,0.08,0.48
2,0.4,0.16,0.44
3,0.6,0.22,0.38
4,0.8,0.28,0.32
5,1.0,0.36,0.26
6,1.2,0.42,0.20
7,1.4,0.48,0.14
8,1.6,0.54,0.08
9,1.8,0.60,0.02
10,2.0,0.66,-0.04
11,2.2,0.72,-0.10
12,2.4,0.76,-0.16
13,2.6,0.82,-0.22
14,2.8,0.86,-0.28
15,3.0,0.90,-0.34
16,3.2,0.94,-0.40
17,3.4,0.98,-0.44
18,3.6,1.02,-0.50
19,3.8,1.04,-0.56
20,4.0,1.08,-0.60
21,4.2,1.10,-0.64
22,4.4,1.10,-0.70
23,4.6,1.12,-0.72
24,4.8,1.12,-0.76
25,5.0,1.14,-0.80
26,5.2,1.14,-0.84
27,5.4,1.12,-0.86
28,5.6,1.12,-0.88
29,5.8,1.10,-0.90
30,6.0,1.08,-0.92
31,6.2,1.06,-0.94
32,6.4,1.02,-0.94
33,6.6,1.00,-0.96
34,6.8,0.96,-0.96
35,7.0,0.92,-0.96
36,7.2,0.88,-0.94
37,7.4,0.84,-0.94
38,7.6,0.78,-0.94
39,7.8,0.72,-0.92
40,8.0,0.66,-0.90
41,8.2,0.60,-0.88
42,8.4,0.54,-0.86
43,8.6,0.48,-0.82
44,8.8,0.42,-0.80
45,9.0,0.34,-0.76
46,9.2,0.28,-0.72
47,9.4,0.20,-0.68
48,9.6,0.14,-0.64
49,9.8,0.06,-0.60
50,10.0,-0.02,-0.54
51,10.2,-0.08,-0.50
52,10.4,-0.16,-0.44
53,10.6,-0.22,-0.38
54,10.8,-0.30,-0.32
55,11.0,-0.36,-0.28
56,11.2,-0.42,-0.22
57,11.4,-0.48,-0.16
58,11.6,-0.54,-0.10
59,11.8,-0.60,-0.04
60,12.0,-0.66,0.04
61,12.2,-0.72,0.10
62,12.4,-0.76,0.16
63,12.6,-0.82,0.22
64,12.8,-0.86,0.28
65,13.0,-0.90,0.34
66,13.2,-0.96,0.38
67,13.4,-0.98,0.44
68,13.6,-1.02,0.50
69,13.8,-1.04,0.54
70,14.0,-1.08,0.60
71,14.2,-1.10,0.64
72,14.4,-1.10,0.68
73,14.6,-1.12,0.72
74,14.8,-1.12,0.76
75,15.0,-1.14,0.80
76,15.2,-1.14,0.82
77,15.4,-1.12,0.84
78,15.6,-1.12,0.88
79,15.8,-1.10,0.90
80,16.0,-1.08,0.92
81,16.2,-1.06,0.92
82,16.4,-1.04,0.94
83,16.6,-1.00,0.94
84,16.8,-0.96,0.94
85,17.0,-0.92,0.94
86,17.2,-0.88,0.94
87,17.4,-0.84,0.94
88,17.6,-0.78,0.92
89,17.8,-0.72,0.90
90,18.0,-0.68,0.90
91,18.2,-0.60,0.88
92,18.4,-0.54,0.84
93,18.6,-0.48,0.82
94,18.8,-0.42,0.78
95,19.0,-0.34,0.76
96,19.2,-0.28,0.72
97,19.4,-0.20,0.68
98,19.6,-0.14,0.64
99,19.8,-0.06,0.58
100,20.0,0.02,0.54
101,20.2,0.08,0.48
102,20.4,0.14,0.44
103,20.6,0.22,0.38
104,20.8,0.30,0.32
105,21.0,0.36,0.26
106,21.2,0.42,0.20
107,21.4,0.48,0.14
108,21.6,0.54,0.08
109,21.8,0.60,0.02
110,22.0,0.66,-0.04
111,22.2,0.72,-0.10
112,22.4,0.76,-0.16
113,22.6,0.82,-0.22
114,22.8,0.86,-0.28
115,23.0,0.90,-0.34
116,23.2,0.94,-0.40
117,23.4,0.98,-0.46
118,23.6,1.02,-0.50
119,23.8,1.04,-0.56
120,24.0,1.08,-0.60
121,24.2,1.10,-0.64
122,24.4,1.10,-0.68
123,24.6,1.12,-0.72
124,24.8,1.12,-0.76
125,25.0,1.12,-0.80
126,25.2,1.12,-0.84
127,25.4,1.12,-0.86
128,25.6,1.12,-0.88
129,25.8,1.10,-0.90
130,26.0,1.08,-0.92
131,26.2,1.06,-0.94
132,26.4,1.02,-0.94
133,26.6,1.00,-0.96
134,26.8,0.96,-0.96
135,27.0,0.92,-0.96
136,27.2,0.88,-0.96
137,27.4,0.84,-0.94
138,27.6,0.78,-0.94
139,27.8,0.72,-0.92
140,28.0,0.66,-0.90
141,28.2,0.60,-0.88
142,28.4,0.54,-0.86
143,28.6,0.48,-0.82
144,28.8,0.42,-0.80
145,29.0,0.34,-0.76
146,29.2,0.28,-0.72
147,29.4,0.20,-0.68
148,29.6,0.12,-0.64
149,29.8,0.06,-0.60
150,30.0,-0.02,-0.54
151,30.2,-0.08,-0.50
152,30.4,-0.16,-0.44
153,30.6,-0.22,-0.38
154,30.8,-0.30,-0.32
155,31.0,-0.36,-0.28
156,31.2,-0.42,-0.22
157,31.4,-0.48,-0.16
158,31.6,-0.54,-0.10
159,31.8,-0.60,-0.04
160,32.0,-0.66,0.04
161,32.2,-0.72,0.10
162,32.4,-0.76,0.16
163,32.6,-0.82,0.22
164,32.8,-0.86,0.28
165,33.0,-0.90,0.34
166,33.2,-0.96,0.38
167,33.4,-0.98,0.44
168,33.6,-1.02,0.50
169,33.8,-1.04,0.54
170,34.0,-1.08,0.60
171,34.2,-1.10,0.64
172,34.4,-1.10,0.68
173,34.6,-1.12,0.72
174,34.8,-1.12,0.76
175,35.0,-1.14,0.80
176,35.2,-1.14,0.82
177,35.4,-1.12,0.84
178,35.6,-1.12,0.88
179,35.8,-1.10,0.90
180,36.0,-1.08,0.92
181,36.2,-1.06,0.92
182,36.4,-1.02,0.94
183,36.6,-1.00,0.94
184,36.8,-0.96,0.94
185,37.0,-0.92,0.94
186,37.2,-0.88,0.94
187,37.4,-0.84,0.94
188,37.6,-0.78,0.92
189,37.8,-0.72,0.90
190,38.0,-0.68,0.90
191,38.2,-0.60,0.86
192,38.4,-0.54,0.84
193,38.6,-0.48,0.82
194,38.8,-0.42,0.78
195,39.0,-0.34,0.76
196,39.2,-0.28,0.72
197,39.4,-0.20,0.68
198,39.6,-0.14,0.64
199,39.8,-0.06,0.58
200,40.0,0.00,0.54
201,40.2,0.08,0.48
202,40.4,0.16,0.44
203,40.6,0.22,0.38
204,40.8,0.28,0.32
205,41.0,0.36,0.26
206,41.2,0.42,0.20
207,41.4,0.48,0.14
208,41.6,0.54,0.08
209,41.8,0.60,0.02
210,42.0,0.66,-0.04
211,42.2,0.72,-0.10
212,42.4,0.76,-0.16
213,42.6,0.82,-0.22
214,42.8,0.86,-0.28
215,43.0,0.90,-0.34
216,43.2,0.94,-0.40
217,43.4,0.98,-0.46
218,43.6,1.02,-0.50
219,43.8,1.04,-0.56
220,44.0,1.08,-0.60
221,44.2,1.10,-0.64
222,44.4,1.10,-0.68
223,44.6,1.12,-0.72
224,44.8,1.12,-0.76
225,45.0,1.12,-0.80
226,45.2,1.12,-0.84
227,45.4,1.12,-0.86
228,45.6,1.12,-0.88
229,45.8,1.10,-0.90
230,46.0,1.08,-0.92
231,46.2,1.06,-0.94
232,46.4,1.02,-0.94
233,46.6,1.00,-0.96
234,46.8,0.96,-0.96
235,47.0,0.92,-0.96
236,47.2,0.88,-0.94
237,47.4,0.84,-0.94
238,47.6,0.78,-0.94
239,47.8,0.72,-0.92
240,48.0,0.66,-0.90
241,48.2,0.60,-0.88
242,48.4,0.54,-0.86
243,48.6,0.48,-0.82
244,48.8,0.42,-0.80
245,49.0,0.34,-0.76
246,49.2,0.28,-0.72
247,49.4,0.20,-0.68
248,49.6,0.12,-0.64
249,49.8,0.06,-0.60
250,50.0,-0.02,-0.54
251,50.2,-0.08,-0.50
252,50.4,-0.16,-0.44
253,50.6,-0.22,-0.38
254,50.8,-0.30,-0.32
255,51.0,-0.36,-0.28
256,51.2,-0.42,-0.22
257,51.4,-0.48,-0.16
258,51.6,-0.54,-0.10
259,51.8,-0.60,-0.02
260,52.0,-0.66,0.04
261,52.2,-0.72,0.10
262,52.4,-0.76,0.16
263,52.6,-0.82,0.22
264,52.8,-0.86,0.28
265,53.0,-0.90,0.34
266,53.2,-0.96,0.38
267,53.4,-0.98,0.44
268,53.6,-1.02,0.50
269,53.8,-1.04,0.54
270,54.0,-1.08,0.60
271,54.2,-1.10,0.64
272,54.4,-1.10,0.68
273,54.6,-1.12,0.72
274,54.8,-1.12,0.76
275,55.0,-1.14,0.80
276,55.2,-1.14,0.82
277,55.4,-1.12,0.84
278,55.6,-1.12,0.88
279,55.8,-1.10,0.90
280,56.0,-1.08,0.92
281,56.2,-1.06,0.92
282,56.4,-1.02,0.94
283,56.6,-1.00,0.94
284,56.8,-0.96,0.94
285,57.0,-0.92,0.94
286,57.2,-0.88,0.94
287,57.4,-0.84,0.94
288,57.6,-0.78,0.92
289,57.8,-0.72,0.90
290,58.0,-0.66,0.90
291,58.2,-0.60,0.88
292,58.4,-0.54,0.84
293,58.6,-0.48,0.82
294,58.8,-0.42,0.78
295,59.0,-0.34,0.76
296,59.2,-0.28,0.72
297,59.4,-0.20,0.68
