,time,[V],[V]
0,0.0,0.02,0.34
1,0.2,0.16,0.24
2,0.4,0.30,0.14
3,0.6,0.44,0.02
4,0.8,0.58,-0.08
5,1.0,0.70,-0.18
6,1.2,0.82,-0.28
7,1.4,0.92,-0.38
8,1.6,1.00,-0.48
9,1.8,1.08,-0.56
10,2.0,1.14,-0.64
11,2.2,1.18,-0.70
12,2.4,1.20,-0.76
13,2.6,1.20,-0.80
14,2.8,1.18,-0.84
15,3.0,1.14,-0.84
16,3.2,1.08,-0.84
17,3.4,1.00,-0.84
18,3.6,0.92,-0.82
19,3.8,0.82,-0.78
20,4.0,0.70,-0.74
21,4.2,0.56,-0.68
22,4.4,0.42,-0.60
23,4.6,0.28,-0.52
24,4.8,0.14,-0.44
25,5.0,-0.02,-0.34
26,5.2,-0.16,-0.24
27,5.4,-0.30,-0.14
28,5.6,-0.44,-0.04
29,5.8,-0.58,0.08
30,6.0,-0.70,0.18
31,6.2,-0.82,0.28
32,6.4,-0.92,0.38
33,6.6,-1.00,0.48
34,6.8,-1.08,0.56
35,7.0,-1.14,0.64
36,7.2,-1.18,0.70
37,7.4,-1.20,0.76
38,7.6,-1.20,0.80
39,7.8,-1.18,0.82
40,8.0,-1.14,0.84
41,8.2,-1.08,0.84
42,8.4,-1.00,0.84
43,8.6,-0.92,0.80
44,8.8,-0.82,0.78
45,9.0,-0.70,0.72
46,9.2,-0.58,0.66
47,9.4,-0.44,0.60
48,9.6,-0.28,0.52
49,9.8,-0.14,0.44
50,10.0,0.02,0.34
51,10.2,0.16,0.24
52,10.4,0.30,0.14
53,10.6,0.44,0.02
54,10.8,0.58,-0.08
55,11.0,0.70,-0.18
56,11.2,0.82,-0.30
57,11.4,0.92,-0.38
58,11.6,1.00,-0.48
59,11.8,1.08,-0.56
60,12.0,1.14,-0.64
61,12.2,1.18,-0.70
62,12.4,1.20,-0.76
63,12.6,1.20,-0.80
64,12.8,1.18,-0.82
65,13.0,1.14,-0.84
66,13.2,1.08,-0.84
67,13.4,1.00,-0.84
68,13.6,0.92,-0.82
69,13.8,0.82,-0.78
70,14.0,0.70,-0.74
71,14.2,0.56,-0.68
72,14.4,0.42,-0.60
73,14.6,0.28,-0.52
74,14.8,0.14,-0.44
75,15.0,-0.02,-0.34
76,15.2,-0.16,-0.24
77,15.4,-0.30,-0.14
78,15.6,-0.44,-0.04
79,15.8,-0.58,0.08
80,16.0,-0.70,0.18
81,16.2,-0.82,0.28
82,16.4,-0.92,0.38
83,16.6,-1.02,0.48
84,16.8,-1.08,0.56
85,17.0,-1.14,0.64
86,17.2,-1.18,0.70
87,17.4,-1.20,0.76
88,17.6,-1.20,0.80
89,17.8,-1.18,0.82
90,18.0,-1.14,0.84
91,18.2,-1.08,0.84
92,18.4,-1.00,0.84
93,18.6,-0.92,0.80
94,18.8,-0.82,0.78
95,19.0,-0.70,0.72
96,19.2,-0.56,0.66
97,19.4,-0.44,0.60
98,19.6,-0.28,0.52
99,19.8,-0.14,0.44
100,20.0,0.02,0.34
101,20.2,0.16,0.24
102,20.4,0.30,0.14
103,20.6,0.44,0.02
104,20.8,0.58,-0.08
105,21.0,0.70,-0.18
106,21.2,0.82,-0.30
107,21.4,0.92,-0.38
108,21.6,1.00,-0.48
109,21.8,1.08,-0.56
110,22.0,1.14,-0.64
111,22.2,1.18,-0.70
112,22.4,1.20,-0.76
113,22.6,1.20,-0.80
114,22.8,1.18,-0.82
115,23.0,1.14,-0.84
116,23.2,1.08,-0.84
117,23.4,1.00,-0.84
118,23.6,0.92,-0.82
119,23.8,0.82,-0.78
120,24.0,0.70,-0.74
121,24.2,0.56,-0.68
122,24.4,0.44,-0.60
123,24.6,0.28,-0.52
124,24.8,0.14,-0.44
125,25.0,-0.02,-0.34
126,25.2,-0.16,-0.24
127,25.4,-0.30,-0.14
128,25.6,-0.44,-0.04
129,25.8,-0.58,0.08
130,26.0,-0.70,0.18
131,26.2,-0.82,0.28
132,26.4,-0.92,0.38
133,26.6,-1.02,0.48
134,26.8,-1.08,0.56
135,27.0,-1.14,0.64
136,27.2,-1.18,0.70
137,27.4,-1.20,0.74
138,27.6,-1.20,0.80
139,27.8,-1.18,0.82
140,28.0,-1.14,0.84
141,28.2,-1.08,0.84
142,28.4,-1.02,0.84
143,28.6,-0.92,0.80
144,28.8,-0.82,0.78
145,29.0,-0.70,0.72
146,29.2,-0.58,0.66
147,29.4,-0.44,0.60
148,29.6,-0.28,0.52
149,29.8,-0.14,0.44
150,30.0,0.02,0.34
151,30.2,0.16,0.24
152,30.4,0.30,0.14
153,30.6,0.44,0.02
154,30.8,0.58,-0.08
155,31.0,0.70,-0.18
156,31.2,0.82,-0.30
157,31.4,0.92,-0.38
158,31.6,1.00,-0.48
159,31.8,1.08,-0.56
160,32.0,1.14,-0.64
161,32.2,1.18,-0.70
162,32.4,1.20,-0.76
163,32.6,1.20,-0.80
164,32.8,1.18,-0.82
165,33.0,1.14,-0.84
166,33.2,1.08,-0.84
167,33.4,1.00,-0.84
168,33.6,0.92,-0.82
169,33.8,0.82,-0.78
170,34.0,0.70,-0.74
171,34.2,0.56,-0.68
172,34.4,0.42,-0.60
173,34.6,0.28,-0.52
174,34.8,0.14,-0.44
175,35.0,-0.02,-0.34
176,35.2,-0.16,-0.24
177,35.4,-0.30,-0.14
178,35.6,-0.44,-0.04
179,35.8,-0.58,0.08
180,36.0,-0.70,0.18
181,36.2,-0.82,0.28
182,36.4,-0.92,0.38
183,36.6,-1.00,0.48
184,36.8,-1.08,0.56
185,37.0,-1.14,0.64
186,37.2,-1.18,0.70
187,37.4,-1.20,0.76
188,37.6,-1.20,0.80
189,37.8,-1.18,0.82
190,38.0,-1.14,0.84
191,38.2,-1.08,0.84
192,38.4,-1.00,0.82
193,38.6,-0.92,0.80
194,38.8,-0.82,0.78
195,39.0,-0.70,0.72
196,39.2,-0.56,0.66
197,39.4,-0.44,0.60
198,39.6,-0.28,0.52
199,39.8,-0.14,0.44
200,40.0,0.02,0.34
201,40.2,0.16,0.24
202,40.4,0.30,0.14
203,40.6,0.44,0.02
204,40.8,0.58,-0.08
205,41.0,0.70,-0.18
206,41.2,0.82,-0.30
207,41.4,0.92,-0.38
208,41.6,1.00,-0.48
209,41.8,1.08,-0.56
210,42.0,1.14,-0.64
211,42.2,1.18,-0.70
212,42.4,1.20,-0.76
213,42.6,1.18,-0.80
214,42.8,1.18,-0.82
215,43.0,1.14,-0.84
216,43.2,1.08,-0.84
217,43.4,1.00,-0.84
218,43.6,0.92,-0.82
219,43.8,0.82,-0.78
220,44.0,0.70,-0.74
221,44.2,0.56,-0.68
222,44.4,0.42,-0.60
223,44.6,0.28,-0.52
224,44.8,0.14,-0.44
225,45.0,-0.02,-0.34
226,45.2,-0.16,-0.24
227,45.4,-0.30,-0.14
228,45.6,-0.44,-0.04
229,45.8,-0.58,0.08
230,46.0,-0.70,0.18
231,46.2,-0.82,0.28
232,46.4,-0.92,0.38
233,46.6,-1.00,0.48
234,46.8,-1.08,0.56
235,47.0,-1.14,0.64
236,47.2,-1.18,0.70
237,47.4,-1.20,0.76
238,47.6,-1.20,0.80
239,47.8,-1.18,0.82
240,48.0,-1.14,0.84
241,48.2,-1.08,0.84
242,48.4,-1.00,0.82
243,48.6,-0.92,0.80
244,48.8,-0.82,0.78
245,49.0,-0.70,0.72
246,49.2,-0.58,0.66
247,49.4,-0.44,0.60
248,49.6,-0.28,0.52
249,49.8,-0.14,0.44
250,50.0,0.02,0.34
251,50.2,0.16,0.24
252,50.4,0.30,0.14
