,time,[V],[V]
0,0.0,0.02,-0.12
1,0.2,0.02,-0.24
2,0.4,0.02,-0.36
3,0.6,0.04,-0.46
4,0.8,0.04,-0.56
5,1.0,0.06,-0.64
6,1.2,0.06,-0.72
7,1.4,0.06,-0.78
8,1.6,0.06,-0.84
9,1.8,0.08,-0.88
10,2.0,0.08,-0.92
11,2.2,0.08,-0.92
12,2.4,0.08,-0.92
13,2.6,0.08,-0.90
14,2.8,0.08,-0.88
15,3.0,0.06,-0.84
16,3.2,0.06,-0.78
17,3.4,0.06,-0.70
18,3.6,0.04,-0.62
19,3.8,0.04,-0.54
20,4.0,0.04,-0.44
21,4.2,0.02,-0.34
22,4.4,0.02,-0.22
23,4.6,0.00,-0.10
24,4.8,0.00,0.00
25,5.0,-0.02,0.12
26,5.2,-0.02,0.24
27,5.4,-0.04,0.34
28,5.6,-0.04,0.44
29,5.8,-0.04,0.54
30,6.0,-0.06,0.64
31,6.2,-0.06,0.72
32,6.4,-0.06,0.78
33,6.6,-0.08,0.84
34,6.8,-0.08,0.88
35,7.0,-0.08,0.90
36,7.2,-0.08,0.92
37,7.4,-0.08,0.92
38,7.6,-0.08,0.90
39,7.8,-0.08,0.86
40,8.0,-0.08,0.82
41,8.2,-0.06,0.76
42,8.4,-0.06,0.70
43,8.6,-0.06,0.62
44,8.8,-0.04,0.52
45,9.0,-0.04,0.42
46,9.2,-0.02,0.32
47,9.4,-0.02,0.22
48,9.6,0.00,0.10
49,9.8,0.00,-0.02
50,10.0,0.02,-0.12
51,10.2,0.02,-0.24
52,10.4,0.02,-0.36
53,10.6,0.04,-0.46
54,10.8,0.04,-0.56
55,11.0,0.06,-0.64
56,11.2,0.06,-0.72
57,11.4,0.06,-0.78
58,11.6,0.08,-0.84
59,11.8,0.08,-0.88
60,12.0,0.08,-0.92
61,12.2,0.08,-0.92
62,12.4,0.08,-0.92
63,12.6,0.08,-0.90
64,12.8,0.08,-0.88
65,13.0,0.06,-0.84
66,13.2,0.06,-0.78
67,13.4,0.06,-0.70
68,13.6,0.06,-0.62
69,13.8,0.04,-0.54
70,14.0,0.04,-0.44
71,14.2,0.02,-0.34
72,14.4,0.02,-0.22
73,14.6,0.00,-0.10
74,14.8,0.00,0.00
75,15.0,-0.02,0.12
76,15.2,-0.02,0.24
77,15.4,-0.04,0.34
78,15.6,-0.04,0.44
79,15.8,-0.04,0.54
80,16.0,-0.06,0.64
81,16.2,-0.06,0.72
82,16.4,-0.06,0.78
83,16.6,-0.08,0.84
84,16.8,-0.08,0.88
85,17.0,-0.08,0.90
86,17.2,-0.08,0.92
87,17.4,-0.08,0.92
88,17.6,-0.08,0.90
89,17.8,-0.08,0.86
90,18.0,-0.08,0.82
91,18.2,-0.06,0.76
92,18.4,-0.06,0.70
93,18.6,-0.06,0.62
94,18.8,-0.04,0.52
95,19.0,-0.04,0.42
96,19.2,-0.02,0.32
97,19.4,-0.02,0.22
98,19.6,0.00,0.10
99,19.8,0.00,-0.02
100,20.0,0.02,-0.12
101,20.2,0.02,-0.24
102,20.4,0.02,-0.36
103,20.6,0.04,-0.46
104,20.8,0.04,-0.56
105,21.0,0.06,-0.64
106,21.2,0.06,-0.72
107,21.4,0.06,-0.78
108,21.6,0.06,-0.84
109,21.8,0.08,-0.88
110,22.0,0.08,-0.92
111,22.2,0.08,-0.92
112,22.4,0.08,-0.92
113,22.6,0.08,-0.90
114,22.8,0.08,-0.88
115,23.0,0.06,-0.84
116,23.2,0.06,-0.78
117,23.4,0.06,-0.70
118,23.6,0.04,-0.62
119,23.8,0.04,-0.54
120,24.0,0.04,-0.44
121,24.2,0.02,-0.34
122,24.4,0.02,-0.22
123,24.6,0.00,-0.10
124,24.8,0.00,0.00
125,25.0,-0.02,0.12
126,25.2,-0.02,0.24
127,25.4,-0.04,0.34
128,25.6,-0.04,0.44
129,25.8,-0.04,0.54
130,26.0,-0.06,0.64
131,26.2,-0.06,0.72
132,26.4,-0.06,0.78
133,26.6,-0.08,0.84
134,26.8,-0.08,0.88
135,27.0,-0.08,0.90
136,27.2,-0.08,0.92
137,27.4,-0.08,0.92
138,27.6,-0.08,0.90
139,27.8,-0.08,0.86
140,28.0,-0.08,0.82
141,28.2,-0.06,0.76
142,28.4,-0.06,0.70
143,28.6,-0.06,0.62
144,28.8,-0.04,0.52
145,29.0,-0.04,0.42
146,29.2,-0.02,0.32
147,29.4,-0.02,0.22
148,29.6,0.00,0.10
149,29.8,0.00,-0.02
150,30.0,0.02,-0.12
151,30.2,0.02,-0.24
152,30.4,0.02,-0.36
153,30.6,0.04,-0.46
154,30.8,0.04,-0.56
155,31.0,0.06,-0.64
156,31.2,0.06,-0.72
157,31.4,0.06,-0.78
158,31.6,0.06,-0.84
159,31.8,0.08,-0.88
160,32.0,0.08,-0.92
161,32.2,0.08,-0.92
162,32.4,0.08,-0.92
163,32.6,0.08,-0.90
164,32.8,0.08,-0.88
165,33.0,0.06,-0.84
166,33.2,0.06,-0.78
167,33.4,0.06,-0.70
168,33.6,0.06,-0.62
169,33.8,0.04,-0.54
170,34.0,0.04,-0.44
171,34.2,0.02,-0.34
172,34.4,0.02,-0.22
173,34.6,0.00,-0.10
174,34.8,0.00,0.00
175,35.0,-0.02,0.12
176,35.2,-0.02,0.24
177,35.4,-0.04,0.34
178,35.6,-0.04,0.44
179,35.8,-0.04,0.54
180,36.0,-0.06,0.64
181,36.2,-0.06,0.72
182,36.4,-0.06,0.78
183,36.6,-0.08,0.84
184,36.8,-0.08,0.88
185,37.0,-0.08,0.90
186,37.2,-0.08,0.92
187,37.4,-0.08,0.92
188,37.6,-0.08,0.90
189,37.8,-0.08,0.86
190,38.0,-0.06,0.82
191,38.2,-0.06,0.76
192,38.4,-0.06,0.70
193,38.6,-0.06,0.62
194,38.8,-0.04,0.52
195,39.0,-0.04,0.42
196,39.2,-0.02,0.32
197,39.4,-0.02,0.22
198,39.6,0.00,0.10
199,39.8,0.00,-0.02
200,40.0,0.00,-0.12
201,40.2,0.02,-0.24
202,40.4,0.02,-0.36
203,40.6,0.04,-0.46
204,40.8,0.04,-0.56
205,41.0,0.06,-0.64
206,41.2,0.06,-0.72
207,41.4,0.06,-0.78
208,41.6,0.06,-0.84
209,41.8,0.08,-0.88
210,42.0,0.08,-0.92
211,42.2,0.08,-0.92
212,42.4,0.08,-0.92
213,42.6,0.08,-0.90
214,42.8,0.08,-0.88
215,43.0,0.06,-0.84
216,43.2,0.06,-0.78
217,43.4,0.06,-0.70
218,43.6,0.06,-0.62
219,43.8,0.04,-0.54
220,44.0,0.04,-0.44
221,44.2,0.02,-0.34
222,44.4,0.02,-0.22
223,44.6,0.00,-0.10
224,44.8,0.00,0.00
225,45.0,-0.02,0.12
226,45.2,-0.02,0.24
227,45.4,-0.04,0.34
228,45.6,-0.04,0.44
229,45.8,-0.04,0.54
230,46.0,-0.06,0.64
231,46.2,-0.06,0.72
232,46.4,-0.06,0.78
233,46.6,-0.08,0.84
234,46.8,-0.08,0.88
235,47.0,-0.08,0.90
236,47.2,-0.08,0.92
237,47.4,-0.08,0.92
238,47.6,-0.08,0.90
239,47.8,-0.08,0.86
240,48.0,-0.08,0.82
241,48.2,-0.06,0.76
242,48.4,-0.06,0.70
243,48.6,-0.06,0.62
244,48.8,-0.04,0.52
245,49.0,-0.04,0.44
246,49.2,-0.02,0.32
247,49.4,-0.02,0.22
248,49.6,0.00,0.10
249,49.8,0.00,-0.02
250,50.0,0.02,-0.12
251,50.2,0.02,-0.24
252,50.4,0.02,-0.36
253,50.6,0.04,-0.46
254,50.8,0.04,-0.56
255,51.0,0.06,-0.64
256,51.2,0.06,-0.72
257,51.4,0.06,-0.80
258,51.6,0.06,-0.84
259,51.8,0.08,-0.88
260,52.0,0.08,-0.92
261,52.2,0.08,-0.92
262,52.4,0.08,-0.92
263,52.6,0.08,-0.90
264,52.8,0.06,-0.88
265,53.0,0.06,-0.84
266,53.2,0.06,-0.78
267,53.4,0.06,-0.70
268,53.6,0.04,-0.62
269,53.8,0.04,-0.54
270,54.0,0.04,-0.44
271,54.2,0.02,-0.34
272,54.4,0.02,-0.22
273,54.6,0.00,-0.10
274,54.8,0.00,0.00
275,55.0,-0.02,0.12
276,55.2,-0.02,0.24
277,55.4,-0.04,0.34
278,55.6,-0.04,0.44
279,55.8,-0.04,0.54
280,56.0,-0.06,0.64
281,56.2,-0.06,0.72
282,56.4,-0.06,0.78
283,56.6,-0.08,0.84
284,56.8,-0.08,0.88
285,57.0,-0.08,0.90
286,57.2,-0.08,0.92
287,57.4,-0.08,0.92
288,57.6,-0.08,0.90
289,57.8,-0.08,0.86
290,58.0,-0.06,0.82
291,58.2,-0.06,0.76
292,58.4,-0.06,0.70
293,58.6,-0.06,0.62
294,58.8,-0.04,0.52
295,59.0,-0.04,0.42
296,59.2,-0.02,0.32
297,59.4,-0.02,0.22
298,59.6,0.00,0.10
299,59.8,0.00,-0.02
300,60.0,0.02,-0.12
301,60.2,0.02,-0.24
302,60.4,0.02,-0.36
303,60.6,0.04,-0.46
304,60.8,0.04,-0.56
305,61.0,0.06,-0.64
306,61.2,0.06,-0.72
307,61.4,0.06,-0.78
308,61.6,0.08,-0.84
309,61.8,0.08,-0.88
310,62.0,0.08,-0.92
311,62.2,0.08,-0.92
312,62.4,0.08,-0.92
313,62.6,0.08,-0.90
314,62.8,0.08,-0.88
315,63.0,0.06,-0.84
316,63.2,0.06,-0.78
317,63.4,0.06,-0.70
318,63.6,0.06,-0.62
319,63.8,0.04,-0.54
320,64.0,0.04,-0.44
321,64.2,0.02,-0.34
322,64.4,0.02,-0.22
323,64.6,0.00,-0.10
324,64.8,0.00,0.00
325,65.0,-0.02,0.12
326,65.2,-0.02,0.24
327,65.4,-0.04,0.34
328,65.6,-0.04,0.44
329,65.8,-0.04,0.54
330,66.0,-0.06,0.64
331,66.2,-0.06,0.72
332,66.4,-0.06,0.78
333,66.6,-0.08,0.84
334,66.8,-0.08,0.88
335,67.0,-0.08,0.90
336,67.2,-0.08,0.92
337,67.4,-0.08,0.92
338,67.6,-0.08,0.90
339,67.8,-0.08,0.86
340,68.0,-0.06,0.82
341,68.2,-0.06,0.76
342,68.4,-0.06,0.70
343,68.6,-0.06,0.62
344,68.8,-0.04,0.52
345,69.0,-0.04,0.42
346,69.2,-0.02,0.32
347,69.4,-0.02,0.22
348,69.6,0.00,0.10
349,69.8,0.00,-0.02
350,70.0,0.02,-0.12
351,70.2,0.02,-0.24
352,70.4,0.02,-0.36
353,70.6,0.04,-0.46
354,70.8,0.04,-0.56
355,71.0,0.06,-0.64
356,71.2,0.06,-0.72
357,71.4,0.06,-0.80
358,71.6,0.08,-0.84
359,71.8,0.08,-0.88
360,72.0,0.08,-0.92
361,72.2,0.08,-0.92
362,72.4,0.08,-0.92
363,72.6,0.08,-0.90
364,72.8,0.08,-0.88
365,73.0,0.06,-0.84
366,73.2,0.06,-0.78
367,73.4,0.06,-0.70
368,73.6,0.04,-0.62
369,73.8,0.04,-0.54
370,74.0,0.04,-0.44
371,74.2,0.02,-0.34
372,74.4,0.02,-0.22
373,74.6,0.00,-0.10
374,74.8,0.00,0.00
375,75.0,-0.02,0.12
376,75.2,-0.02,0.24
377,75.4,-0.04,0.34
378,75.6,-0.04,0.44
379,75.8,-0.04,0.54
380,76.0,-0.06,0.64
381,76.2,-0.06,0.72
382,76.4,-0.06,0.78
383,76.6,-0.08,0.84
384,76.8,-0.08,0.88
385,77.0,-0.08,0.90
386,77.2,-0.08,0.92
387,77.4,-0.08,0.92
388,77.6,-0.08,0.90
