,time,[V],[V]
0,0.0,0.02,0.40
1,0.2,0.06,0.38
2,0.4,0.10,0.38
3,0.6,0.14,0.36
4,0.8,0.20,0.34
5,1.0,0.24,0.32
6,1.2,0.28,0.30
7,1.4,0.32,0.28
8,1.6,0.36,0.26
9,1.8,0.40,0.24
10,2.0,0.44,0.22
11,2.2,0.46,0.18
12,2.4,0.50,0.16
13,2.6,0.54,0.14
14,2.8,0.56,0.10
15,3.0,0.60,0.08
16,3.2,0.62,0.06
17,3.4,0.64,0.02
18,3.6,0.66,0.00
19,3.8,0.68,-0.02
20,4.0,0.70,-0.06
21,4.2,0.72,-0.08
22,4.4,0.72,-0.10
23,4.6,0.74,-0.14
24,4.8,0.74,-0.16
25,5.0,0.74,-0.18
26,5.2,0.74,-0.20
27,5.4,0.74,-0.24
28,5.6,0.72,-0.26
29,5.8,0.72,-0.28
30,6.0,0.70,-0.30
31,6.2,0.70,-0.32
32,6.4,0.68,-0.32
33,6.6,0.66,-0.34
34,6.8,0.62,-0.36
35,7.0,0.60,-0.38
36,7.2,0.58,-0.38
37,7.4,0.54,-0.40
38,7.6,0.52,-0.42
39,7.8,0.48,-0.42
40,8.0,0.44,-0.42
41,8.2,0.40,-0.44
42,8.4,0.36,-0.44
43,8.6,0.32,-0.44
44,8.8,0.26,-0.44
45,9.0,0.22,-0.44
46,9.2,0.18,-0.44
47,9.4,0.12,-0.44
48,9.6,0.08,-0.42
49,9.8,0.04,-0.42
50,10.0,-0.02,-0.40
51,10.2,-0.06,-0.40
52,10.4,-0.10,-0.38
53,10.6,-0.16,-0.36
54,10.8,-0.20,-0.34
55,11.0,-0.24,-0.34
56,11.2,-0.28,-0.32
57,11.4,-0.32,-0.28
58,11.6,-0.36,-0.26
59,11.8,-0.40,-0.24
60,12.0,-0.44,-0.22
61,12.2,-0.48,-0.20
62,12.4,-0.50,-0.16
63,12.6,-0.54,-0.14
64,12.8,-0.56,-0.12
65,13.0,-0.60,-0.08
66,13.2,-0.62,-0.06
67,13.4,-0.64,-0.04
68,13.6,-0.66,0.00
69,13.8,-0.68,0.02
70,14.0,-0.70,0.04
71,14.2,-0.72,0.08
72,14.4,-0.72,0.10
73,14.6,-0.74,0.12
74,14.8,-0.74,0.16
75,15.0,-0.74,0.18
76,15.2,-0.74,0.20
77,15.4,-0.74,0.22
78,15.6,-0.74,0.24
79,15.8,-0.72,0.26
80,16.0,-0.70,0.28
81,16.2,-0.70,0.30
82,16.4,-0.68,0.32
83,16.6,-0.66,0.34
84,16.8,-0.64,0.36
85,17.0,-0.60,0.36
86,17.2,-0.58,0.38
87,17.4,-0.54,0.40
88,17.6,-0.52,0.40
89,17.8,-0.48,0.42
90,18.0,-0.44,0.42
91,18.2,-0.40,0.42
92,18.4,-0.36,0.42
93,18.6,-0.32,0.44
94,18.8,-0.26,0.44
95,19.0,-0.22,0.44
96,19.2,-0.18,0.44
97,19.4,-0.12,0.42
98,19.6,-0.08,0.42
99,19.8,-0.04,0.40
100,20.0,0.02,0.40
101,20.2,0.06,0.38
102,20.4,0.10,0.38
103,20.6,0.14,0.36
104,20.8,0.20,0.34
105,21.0,0.24,0.32
106,21.2,0.28,0.30
107,21.4,0.32,0.28
108,21.6,0.36,0.26
109,21.8,0.40,0.24
110,22.0,0.44,0.22
111,22.2,0.46,0.18
112,22.4,0.50,0.16
113,22.6,0.54,0.14
114,22.8,0.56,0.10
115,23.0,0.60,0.08
116,23.2,0.62,0.06
117,23.4,0.64,0.02
118,23.6,0.66,0.00
119,23.8,0.68,-0.02
120,24.0,0.70,-0.06
121,24.2,0.70,-0.08
122,24.4,0.72,-0.10
123,24.6,0.74,-0.14
124,24.8,0.74,-0.16
125,25.0,0.74,-0.18
126,25.2,0.74,-0.20
127,25.4,0.74,-0.22
128,25.6,0.72,-0.26
129,25.8,0.72,-0.28
130,26.0,0.70,-0.30
131,26.2,0.70,-0.32
132,26.4,0.68,-0.32
133,26.6,0.66,-0.34
134,26.8,0.62,-0.36
135,27.0,0.60,-0.38
136,27.2,0.58,-0.38
137,27.4,0.54,-0.40
138,27.6,0.52,-0.40
139,27.8,0.48,-0.42
140,28.0,0.44,-0.42
141,28.2,0.40,-0.44
142,28.4,0.36,-0.44
143,28.6,0.30,-0.44
144,28.8,0.26,-0.44
145,29.0,0.22,-0.44
146,29.2,0.18,-0.44
147,29.4,0.12,-0.44
148,29.6,0.08,-0.42
149,29.8,0.04,-0.42
150,30.0,-0.02,-0.40
151,30.2,-0.06,-0.40
152,30.4,-0.10,-0.38
153,30.6,-0.16,-0.36
154,30.8,-0.20,-0.36
155,31.0,-0.24,-0.34
156,31.2,-0.28,-0.32
157,31.4,-0.32,-0.28
158,31.6,-0.36,-0.26
159,31.8,-0.40,-0.24
160,32.0,-0.44,-0.22
161,32.2,-0.46,-0.20
162,32.4,-0.50,-0.16
163,32.6,-0.54,-0.14
164,32.8,-0.56,-0.12
165,33.0,-0.60,-0.08
166,33.2,-0.62,-0.06
167,33.4,-0.64,-0.04
168,33.6,-0.66,0.00
169,33.8,-0.68,0.02
170,34.0,-0.70,0.04
171,34.2,-0.72,0.08
172,34.4,-0.72,0.10
173,34.6,-0.74,0.12
174,34.8,-0.74,0.16
175,35.0,-0.74,0.18
176,35.2,-0.74,0.20
177,35.4,-0.74,0.22
178,35.6,-0.72,0.24
179,35.8,-0.72,0.26
180,36.0,-0.70,0.28
181,36.2,-0.70,0.30
182,36.4,-0.68,0.32
183,36.6,-0.66,0.34
184,36.8,-0.62,0.36
185,37.0,-0.60,0.36
186,37.2,-0.58,0.38
187,37.4,-0.54,0.40
188,37.6,-0.52,0.40
189,37.8,-0.48,0.42
190,38.0,-0.44,0.42
191,38.2,-0.40,0.42
192,38.4,-0.36,0.42
193,38.6,-0.32,0.44
194,38.8,-0.28,0.44
195,39.0,-0.22,0.44
196,39.2,-0.18,0.42
197,39.4,-0.14,0.42
198,39.6,-0.08,0.42
199,39.8,-0.04,0.42
200,40.0,0.02,0.40
201,40.2,0.06,0.38
202,40.4,0.10,0.38
203,40.6,0.14,0.36
204,40.8,0.20,0.34
205,41.0,0.24,0.32
206,41.2,0.28,0.30
207,41.4,0.32,0.28
208,41.6,0.36,0.26
209,41.8,0.40,0.24
210,42.0,0.44,0.22
211,42.2,0.46,0.18
212,42.4,0.50,0.16
213,42.6,0.54,0.14
214,42.8,0.56,0.10
215,43.0,0.60,0.08
216,43.2,0.62,0.06
217,43.4,0.64,0.02
218,43.6,0.66,0.00
219,43.8,0.68,-0.02
220,44.0,0.70,-0.06
221,44.2,0.72,-0.08
222,44.4,0.72,-0.10
223,44.6,0.72,-0.14
224,44.8,0.74,-0.16
225,45.0,0.74,-0.18
226,45.2,0.74,-0.20
227,45.4,0.74,-0.24
228,45.6,0.74,-0.26
229,45.8,0.72,-0.28
230,46.0,0.70,-0.30
231,46.2,0.70,-0.32
232,46.4,0.68,-0.32
233,46.6,0.66,-0.34
234,46.8,0.62,-0.36
235,47.0,0.60,-0.38
236,47.2,0.58,-0.38
237,47.4,0.54,-0.40
238,47.6,0.50,-0.40
239,47.8,0.48,-0.42
240,48.0,0.44,-0.42
241,48.2,0.40,-0.44
242,48.4,0.36,-0.44
243,48.6,0.32,-0.44
244,48.8,0.26,-0.44
245,49.0,0.22,-0.44
246,49.2,0.18,-0.44
247,49.4,0.12,-0.44
248,49.6,0.08,-0.42
249,49.8,0.04,-0.42
250,50.0,-0.02,-0.40
251,50.2,-0.06,-0.40
252,50.4,-0.10,-0.38
253,50.6,-0.16,-0.36
254,50.8,-0.20,-0.36
255,51.0,-0.24,-0.34
256,51.2,-0.28,-0.32
257,51.4,-0.32,-0.28
258,51.6,-0.36,-0.26
259,51.8,-0.40,-0.24
260,52.0,-0.44,-0.22
261,52.2,-0.48,-0.20
262,52.4,-0.50,-0.16
263,52.6,-0.54,-0.14
264,52.8,-0.56,-0.12
265,53.0,-0.60,-0.08
266,53.2,-0.62,-0.06
267,53.4,-0.64,-0.04
268,53.6,-0.66,0.00
269,53.8,-0.68,0.02
270,54.0,-0.70,0.04
271,54.2,-0.72,0.08
272,54.4,-0.72,0.10
273,54.6,-0.74,0.12
274,54.8,-0.74,0.16
275,55.0,-0.74,0.18
276,55.2,-0.74,0.20
277,55.4,-0.74,0.22
278,55.6,-0.74,0.24
279,55.8,-0.72,0.26
280,56.0,-0.70,0.28
281,56.2,-0.70,0.30
282,56.4,-0.68,0.32
283,56.6,-0.66,0.34
284,56.8,-0.64,0.36
285,57.0,-0.60,0.36
286,57.2,-0.58,0.38
287,57.4,-0.54,0.40
288,57.6,-0.52,0.40
289,57.8,-0.48,0.40
290,58.0,-0.44,0.42
291,58.2,-0.40,0.42
292,58.4,-0.36,0.42
293,58.6,-0.32,0.42
294,58.8,-0.26,0.44
295,59.0,-0.22,0.44
296,59.2,-0.18,0.42
297,59.4,-0.12,0.42
298,59.6,-0.08,0.42
299,59.8,-0.04,0.42
300,60.0,0.02,0.40
301,60.2,0.06,0.38
302,60.4,0.10,0.38
303,60.6,0.14,0.36
304,60.8,0.20,0.34
305,61.0,0.24,0.32
306,61.2,0.28,0.30
307,61.4,0.32,0.28
308,61.6,0.36,0.26
309,61.8,0.40,0.24
310,62.0,0.44,0.22
311,62.2,0.46,0.18
312,62.4,0.50,0.16
313,62.6,0.54,0.14
314,62.8,0.56,0.10
315,63.0,0.60,0.08
316,63.2,0.62,0.06
317,63.4,0.64,0.02
318,63.6,0.66,0.00
319,63.8,0.68,-0.02
320,64.0,0.70,-0.06
321,64.2,0.72,-0.08
322,64.4,0.72,-0.10
323,64.6,0.74,-0.14
324,64.8,0.74,-0.16
325,65.0,0.74,-0.18
326,65.2,0.74,-0.20
327,65.4,0.74,-0.22
328,65.6,0.72,-0.26
329,65.8,0.72,-0.28
330,66.0,0.70,-0.30
331,66.2,0.70,-0.32
332,66.4,0.68,-0.32
333,66.6,0.66,-0.34
334,66.8,0.64,-0.36
335,67.0,0.60,-0.38
336,67.2,0.58,-0.38
337,67.4,0.54,-0.40
338,67.6,0.52,-0.40
339,67.8,0.48,-0.42
340,68.0,0.44,-0.42
341,68.2,0.40,-0.44
342,68.4,0.36,-0.44
343,68.6,0.32,-0.44
344,68.8,0.26,-0.44
345,69.0,0.22,-0.44
346,69.2,0.18,-0.44
347,69.4,0.12,-0.44
348,69.6,0.08,-0.42
349,69.8,0.04,-0.42
350,70.0,-0.02,-0.40
351,70.2,-0.06,-0.40
352,70.4,-0.10,-0.38
353,70.6,-0.16,-0.36
354,70.8,-0.20,-0.36
355,71.0,-0.24,-0.34
356,71.2,-0.28,-0.32
357,71.4,-0.32,-0.28
358,71.6,-0.36,-0.26
359,71.8,-0.40,-0.24
360,72.0,-0.44,-0.22
361,72.2,-0.46,-0.20
362,72.4,-0.50,-0.16
363,72.6,-0.54,-0.14
364,72.8,-0.56,-0.12
365,73.0,-0.60,-0.08
366,73.2,-0.62,-0.06
367,73.4,-0.64,-0.04
368,73.6,-0.66,0.00
369,73.8,-0.68,0.02
370,74.0,-0.70,0.04
371,74.2,-0.72,0.08
372,74.4,-0.72,0.10
373,74.6,-0.74,0.12
374,74.8,-0.74,0.16
375,75.0,-0.74,0.18
376,75.2,-0.74,0.20
377,75.4,-0.74,0.22
378,75.6,-0.74,0.24
379,75.8,-0.72,0.26
380,76.0,-0.70,0.28
381,76.2,-0.70,0.30
382,76.4,-0.68,0.32
383,76.6,-0.66,0.34
384,76.8,-0.64,0.36
385,77.0,-0.60,0.36
386,77.2,-0.58,0.38
387,77.4,-0.54,0.40
388,77.6,-0.52,0.40
389,77.8,-0.48,0.40
390,78.0,-0.44,0.42
391,78.2,-0.40,0.42
392,78.4,-0.36,0.42
393,78.6,-0.32,0.44
394,78.8,-0.26,0.44
