,time,[V],[V]
0,0.0,0.02,-0.10
1,0.2,0.02,-0.22
2,0.4,0.02,-0.34
3,0.6,0.04,-0.46
4,0.8,0.04,-0.56
5,1.0,0.06,-0.68
6,1.2,0.06,-0.78
7,1.4,0.08,-0.88
8,1.6,0.08,-0.98
9,1.8,0.10,-1.08
10,2.0,0.10,-1.16
11,2.2,0.10,-1.26
12,2.4,0.12,-1.34
13,2.6,0.12,-1.42
14,2.8,0.12,-1.50
15,3.0,0.14,-1.56
16,3.2,0.14,-1.62
17,3.4,0.14,-1.66
18,3.6,0.14,-1.72
19,3.8,0.14,-1.76
20,4.0,0.14,-1.78
21,4.2,0.16,-1.82
22,4.4,0.16,-1.84
23,4.6,0.16,-1.84
24,4.8,0.16,-1.84
25,5.0,0.16,-1.84
26,5.2,0.16,-1.84
27,5.4,0.16,-1.82
28,5.6,0.14,-1.80
29,5.8,0.14,-1.76
30,6.0,0.14,-1.72
31,6.2,0.14,-1.68
32,6.4,0.14,-1.62
33,6.6,0.12,-1.56
34,6.8,0.12,-1.50
35,7.0,0.12,-1.42
36,7.2,0.12,-1.36
37,7.4,0.10,-1.26
38,7.6,0.10,-1.18
39,7.8,0.08,-1.08
40,8.0,0.08,-1.00
41,8.2,0.08,-0.90
42,8.4,0.06,-0.80
43,8.6,0.06,-0.68
44,8.8,0.04,-0.58
45,9.0,0.04,-0.46
46,9.2,0.02,-0.36
47,9.4,0.02,-0.24
48,9.6,0.00,-0.12
49,9.8,0.00,0.00
50,10.0,-0.02,0.10
51,10.2,-0.02,0.22
52,10.4,-0.04,0.34
53,10.6,-0.04,0.44
54,10.8,-0.06,0.56
55,11.0,-0.06,0.66
56,11.2,-0.06,0.78
57,11.4,-0.08,0.88
58,11.6,-0.08,0.98
59,11.8,-0.10,1.08
60,12.0,-0.10,1.16
61,12.2,-0.10,1.26
62,12.4,-0.12,1.34
63,12.6,-0.12,1.40
64,12.8,-0.12,1.48
65,13.0,-0.14,1.54
66,13.2,-0.14,1.60
67,13.4,-0.14,1.66
68,13.6,-0.14,1.70
69,13.8,-0.16,1.74
70,14.0,-0.16,1.78
71,14.2,-0.16,1.80
72,14.4,-0.16,1.82
73,14.6,-0.16,1.84
74,14.8,-0.16,1.84
75,15.0,-0.16,1.84
76,15.2,-0.16,1.82
77,15.4,-0.16,1.80
78,15.6,-0.16,1.78
79,15.8,-0.14,1.76
80,16.0,-0.14,1.72
81,16.2,-0.14,1.66
82,16.4,-0.14,1.62
83,16.6,-0.14,1.56
84,16.8,-0.12,1.50
85,17.0,-0.12,1.42
86,17.2,-0.12,1.34
87,17.4,-0.10,1.26
88,17.6,-0.10,1.18
89,17.8,-0.10,1.08
90,18.0,-0.08,0.98
91,18.2,-0.08,0.88
92,18.4,-0.06,0.78
93,18.6,-0.06,0.68
94,18.8,-0.04,0.58
95,19.0,-0.04,0.46
96,19.2,-0.02,0.34
97,19.4,-0.02,0.24
98,19.6,0.00,0.12
99,19.8,0.00,0.00
100,20.0,0.02,-0.10
101,20.2,0.02,-0.22
102,20.4,0.02,-0.34
103,20.6,0.04,-0.46
104,20.8,0.04,-0.56
105,21.0,0.06,-0.68
106,21.2,0.06,-0.78
107,21.4,0.08,-0.88
108,21.6,0.08,-0.98
109,21.8,0.10,-1.08
110,22.0,0.10,-1.18
