,time,[V],[V]
213,42.6,0.06,-0.76
214,42.8,0.06,-0.78
215,43.0,0.06,-0.82
216,43.2,0.06,-0.84
217,43.4,0.08,-0.86
218,43.6,0.08,-0.88
219,43.8,0.08,-0.90
220,44.0,0.08,-0.92
221,44.2,0.08,-0.92
222,44.4,0.08,-0.92
223,44.6,0.08,-0.92
224,44.8,0.08,-0.92
225,45.0,0.08,-0.92
226,45.2,0.08,-0.90
227,45.4,0.08,-0.90
228,45.6,0.08,-0.88
229,45.8,0.08,-0.86
230,46.0,0.06,-0.84
231,46.2,0.06,-0.82
232,46.4,0.06,-0.78
233,46.6,0.06,-0.76
234,46.8,0.06,-0.72
235,47.0,0.06,-0.68
236,47.2,0.06,-0.64
237,47.4,0.04,-0.60
238,47.6,0.04,-0.54
239,47.8,0.04,-0.50
240,48.0,0.04,-0.44
241,48.2,0.04,-0.40
242,48.4,0.02,-0.34
243,48.6,0.02,-0.28
244,48.8,0.02,-0.24
245,49.0,0.02,-0.18
246,49.2,0.00,-0.12
247,49.4,0.00,-0.06
248,49.6,0.00,0.00
249,49.8,0.00,0.06
250,50.0,-0.02,0.12
251,50.2,-0.02,0.16
252,50.4,-0.02,0.22
253,50.6,-0.02,0.28
254,50.8,-0.04,0.34
255,51.0,-0.04,0.38
256,51.2,-0.04,0.44
257,51.4,-0.04,0.48
258,51.6,-0.04,0.54
259,51.8,-0.06,0.58
260,52.0,-0.06,0.62
261,52.2,-0.06,0.66
262,52.4,-0.06,0.70
263,52.6,-0.06,0.74
264,52.8,-0.06,0.78
265,53.0,-0.06,0.80
266,53.2,-0.08,0.82
267,53.4,-0.08,0.86
268,53.6,-0.08,0.88
269,53.8,-0.08,0.88
270,54.0,-0.08,0.90
271,54.2,-0.08,0.92
272,54.4,-0.08,0.92
273,54.6,-0.08,0.92
274,54.8,-0.08,0.92
275,55.0,-0.08,0.92
276,55.2,-0.08,0.90
277,55.4,-0.08,0.88
278,55.6,-0.08,0.88
279,55.8,-0.08,0.86
280,56.0,-0.06,0.84
281,56.2,-0.06,0.80
282,56.4,-0.06,0.78
283,56.6,-0.06,0.74
284,56.8,-0.06,0.70
285,57.0,-0.06,0.66
286,57.2,-0.06,0.62
287,57.4,-0.06,0.58
288,57.6,-0.04,0.54
289,57.8,-0.04,0.50
290,58.0,-0.04,0.44
291,58.2,-0.04,0.38
292,58.4,-0.02,0.34
293,58.6,-0.02,0.28
294,58.8,-0.02,0.22
295,59.0,-0.02,0.16
296,59.2,0.00,0.10
297,59.4,0.00,0.06
298,59.6,0.00,0.00
299,59.8,0.00,-0.06
300,60.0,0.02,-0.12
301,60.2,0.02,-0.18
302,60.4,0.02,-0.24
303,60.6,0.02,-0.28
304,60.8,0.02,-0.34
305,61.0,0.04,-0.40
306,61.2,0.04,-0.44
307,61.4,0.04,-0.50
308,61.6,0.04,-0.54
309,61.8,0.04,-0.60
310,62.0,0.06,-0.64
311,62.2,0.06,-0.68
312,62.4,0.06,-0.72
313,62.6,0.06,-0.74
314,62.8,0.06,-0.78
315,63.0,0.06,-0.82
316,63.2,0.06,-0.84
317,63.4,0.08,-0.86
318,63.6,0.08,-0.88
319,63.8,0.08,-0.90
320,64.0,0.08,-0.92
321,64.2,0.08,-0.92
322,64.4,0.08,-0.92
323,64.6,0.08,-0.92
324,64.8,0.08,-0.92
325,65.0,0.08,-0.92
