,time,[V],[V]
0,0.0,0.02,0.30
1,0.2,0.04,0.28
2,0.4,0.08,0.26
3,0.6,0.12,0.22
4,0.8,0.14,0.20
5,1.0,0.18,0.16
6,1.2,0.22,0.14
7,1.4,0.24,0.10
8,1.6,0.28,0.06
9,1.8,0.30,0.04
10,2.0,0.32,0.00
11,2.2,0.36,-0.02
12,2.4,0.38,-0.06
13,2.6,0.40,-0.08
14,2.8,0.42,-0.12
15,3.0,0.44,-0.16
16,3.2,0.46,-0.18
17,3.4,0.48,-0.22
18,3.6,0.50,-0.24
19,3.8,0.52,-0.26
20,4.0,0.52,-0.30
21,4.2,0.54,-0.32
22,4.4,0.54,-0.34
23,4.6,0.54,-0.36
24,4.8,0.56,-0.38
25,5.0,0.56,-0.40
26,5.2,0.56,-0.42
27,5.4,0.56,-0.44
28,5.6,0.54,-0.46
29,5.8,0.54,-0.46
30,6.0,0.52,-0.48
31,6.2,0.52,-0.48
32,6.4,0.50,-0.48
33,6.6,0.48,-0.50
34,6.8,0.46,-0.50
35,7.0,0.44,-0.50
36,7.2,0.42,-0.50
37,7.4,0.40,-0.50
38,7.6,0.38,-0.50
39,7.8,0.36,-0.48
40,8.0,0.32,-0.48
41,8.2,0.30,-0.48
42,8.4,0.26,-0.46
43,8.6,0.22,-0.44
44,8.8,0.20,-0.44
45,9.0,0.16,-0.42
46,9.2,0.12,-0.40
47,9.4,0.10,-0.38
48,9.6,0.06,-0.36
49,9.8,0.02,-0.34
50,10.0,-0.02,-0.30
51,10.2,-0.04,-0.28
52,10.4,-0.08,-0.26
53,10.6,-0.12,-0.22
54,10.8,-0.16,-0.20
55,11.0,-0.18,-0.18
56,11.2,-0.22,-0.14
57,11.4,-0.24,-0.10
58,11.6,-0.28,-0.08
59,11.8,-0.30,-0.04
60,12.0,-0.34,-0.02
61,12.2,-0.36,0.02
62,12.4,-0.38,0.06
63,12.6,-0.40,0.08
64,12.8,-0.42,0.12
65,13.0,-0.46,0.14
66,13.2,-0.46,0.18
67,13.4,-0.48,0.20
68,13.6,-0.50,0.24
69,13.8,-0.52,0.26
70,14.0,-0.52,0.28
71,14.2,-0.54,0.32
72,14.4,-0.54,0.34
73,14.6,-0.56,0.36
74,14.8,-0.56,0.38
75,15.0,-0.56,0.40
76,15.2,-0.56,0.42
77,15.4,-0.56,0.44
78,15.6,-0.54,0.44
79,15.8,-0.54,0.46
80,16.0,-0.52,0.46
81,16.2,-0.52,0.48
82,16.4,-0.50,0.48
83,16.6,-0.48,0.48
84,16.8,-0.46,0.50
85,17.0,-0.44,0.50
86,17.2,-0.42,0.50
87,17.4,-0.40,0.50
88,17.6,-0.38,0.48
89,17.8,-0.36,0.48
90,18.0,-0.32,0.48
91,18.2,-0.30,0.46
92,18.4,-0.26,0.46
93,18.6,-0.24,0.44
94,18.8,-0.20,0.42
95,19.0,-0.16,0.40
96,19.2,-0.12,0.38
97,19.4,-0.10,0.38
98,19.6,-0.06,0.36
99,19.8,-0.02,0.32
100,20.0,0.02,0.30
101,20.2,0.04,0.28
102,20.4,0.08,0.24
103,20.6,0.12,0.22
104,20.8,0.14,0.20
105,21.0,0.18,0.16
106,21.2,0.20,0.14
107,21.4,0.24,0.10
108,21.6,0.28,0.08
109,21.8,0.30,0.04
110,22.0,0.32,0.00
111,22.2,0.36,-0.02
112,22.4,0.38,-0.06
113,22.6,0.40,-0.08
114,22.8,0.42,-0.12
115,23.0,0.44,-0.16
116,23.2,0.46,-0.18
117,23.4,0.48,-0.22
118,23.6,0.50,-0.24
119,23.8,0.52,-0.26
120,24.0,0.52,-0.30
121,24.2,0.54,-0.32
122,24.4,0.54,-0.34
123,24.6,0.54,-0.36
124,24.8,0.56,-0.38
125,25.0,0.56,-0.40
126,25.2,0.56,-0.42
127,25.4,0.56,-0.44
128,25.6,0.54,-0.46
129,25.8,0.54,-0.46
130,26.0,0.52,-0.48
131,26.2,0.52,-0.48
132,26.4,0.50,-0.50
133,26.6,0.48,-0.50
134,26.8,0.46,-0.50
135,27.0,0.44,-0.50
136,27.2,0.42,-0.50
137,27.4,0.40,-0.50
138,27.6,0.38,-0.50
139,27.8,0.36,-0.48
140,28.0,0.32,-0.48
141,28.2,0.28,-0.48
142,28.4,0.26,-0.46
143,28.6,0.22,-0.44
144,28.8,0.20,-0.44
145,29.0,0.16,-0.42
146,29.2,0.12,-0.40
147,29.4,0.10,-0.38
148,29.6,0.06,-0.36
149,29.8,0.02,-0.34
150,30.0,-0.02,-0.30
151,30.2,-0.04,-0.28
152,30.4,-0.08,-0.26
153,30.6,-0.12,-0.24
154,30.8,-0.14,-0.20
155,31.0,-0.18,-0.16
156,31.2,-0.22,-0.14
157,31.4,-0.24,-0.10
158,31.6,-0.28,-0.08
159,31.8,-0.30,-0.04
160,32.0,-0.34,-0.02
161,32.2,-0.36,0.02
162,32.4,-0.38,0.04
163,32.6,-0.40,0.08
164,32.8,-0.42,0.12
165,33.0,-0.46,0.14
166,33.2,-0.46,0.18
167,33.4,-0.48,0.20
168,33.6,-0.50,0.24
169,33.8,-0.52,0.26
170,34.0,-0.52,0.28
171,34.2,-0.54,0.32
172,34.4,-0.54,0.34
173,34.6,-0.56,0.36
174,34.8,-0.56,0.38
175,35.0,-0.56,0.40
176,35.2,-0.56,0.42
177,35.4,-0.56,0.42
178,35.6,-0.54,0.44
179,35.8,-0.54,0.46
180,36.0,-0.52,0.46
181,36.2,-0.52,0.48
182,36.4,-0.50,0.48
183,36.6,-0.48,0.48
184,36.8,-0.46,0.50
185,37.0,-0.44,0.50
186,37.2,-0.42,0.50
187,37.4,-0.40,0.50
188,37.6,-0.38,0.48
189,37.8,-0.36,0.48
190,38.0,-0.32,0.48
191,38.2,-0.30,0.46
192,38.4,-0.26,0.46
193,38.6,-0.24,0.44
194,38.8,-0.20,0.42
195,39.0,-0.16,0.40
196,39.2,-0.12,0.38
197,39.4,-0.10,0.38
198,39.6,-0.06,0.34
199,39.8,-0.02,0.32
200,40.0,0.02,0.30
201,40.2,0.04,0.28
202,40.4,0.08,0.24
203,40.6,0.12,0.22
204,40.8,0.14,0.20
205,41.0,0.18,0.16
206,41.2,0.22,0.14
207,41.4,0.24,0.10
208,41.6,0.28,0.06
209,41.8,0.30,0.04
210,42.0,0.32,0.00
211,42.2,0.36,-0.02
212,42.4,0.38,-0.06
213,42.6,0.40,-0.08
214,42.8,0.42,-0.12
215,43.0,0.44,-0.16
216,43.2,0.46,-0.18
217,43.4,0.48,-0.22
218,43.6,0.50,-0.24
219,43.8,0.52,-0.26
220,44.0,0.52,-0.30
221,44.2,0.54,-0.32
222,44.4,0.54,-0.34
223,44.6,0.54,-0.36
224,44.8,0.56,-0.38
225,45.0,0.56,-0.40
226,45.2,0.56,-0.42
227,45.4,0.56,-0.44
228,45.6,0.54,-0.46
229,45.8,0.54,-0.46
230,46.0,0.52,-0.48
231,46.2,0.52,-0.48
232,46.4,0.50,-0.50
233,46.6,0.48,-0.50
234,46.8,0.46,-0.50
235,47.0,0.44,-0.50
236,47.2,0.42,-0.50
237,47.4,0.40,-0.50
238,47.6,0.38,-0.50
239,47.8,0.36,-0.48
240,48.0,0.32,-0.48
241,48.2,0.30,-0.48
242,48.4,0.26,-0.46
243,48.6,0.22,-0.44
244,48.8,0.20,-0.44
245,49.0,0.16,-0.42
246,49.2,0.12,-0.40
247,49.4,0.10,-0.38
248,49.6,0.06,-0.36
249,49.8,0.02,-0.34
250,50.0,-0.02,-0.32
251,50.2,-0.04,-0.28
252,50.4,-0.08,-0.26
253,50.6,-0.12,-0.22
254,50.8,-0.14,-0.20
255,51.0,-0.18,-0.18
256,51.2,-0.22,-0.14
257,51.4,-0.24,-0.10
258,51.6,-0.28,-0.08
259,51.8,-0.30,-0.04
260,52.0,-0.34,-0.02
261,52.2,-0.36,0.02
262,52.4,-0.38,0.06
263,52.6,-0.40,0.08
264,52.8,-0.42,0.12
265,53.0,-0.44,0.14
266,53.2,-0.46,0.18
267,53.4,-0.48,0.20
268,53.6,-0.50,0.24
269,53.8,-0.52,0.26
270,54.0,-0.52,0.28
271,54.2,-0.54,0.32
272,54.4,-0.54,0.34
273,54.6,-0.56,0.36
274,54.8,-0.56,0.38
275,55.0,-0.56,0.40
276,55.2,-0.56,0.42
277,55.4,-0.56,0.42
278,55.6,-0.54,0.44
279,55.8,-0.54,0.46
280,56.0,-0.52,0.46
281,56.2,-0.52,0.48
282,56.4,-0.50,0.48
283,56.6,-0.48,0.48
284,56.8,-0.46,0.50
285,57.0,-0.44,0.50
286,57.2,-0.42,0.50
287,57.4,-0.40,0.50
288,57.6,-0.38,0.48
289,57.8,-0.36,0.48
290,58.0,-0.32,0.48
291,58.2,-0.30,0.46
292,58.4,-0.26,0.46
293,58.6,-0.24,0.44
294,58.8,-0.20,0.42
295,59.0,-0.16,0.40
296,59.2,-0.12,0.38
297,59.4,-0.10,0.38
298,59.6,-0.06,0.34
299,59.8,-0.02,0.32
300,60.0,0.00,0.30
301,60.2,0.04,0.28
302,60.4,0.08,0.26
303,60.6,0.12,0.22
304,60.8,0.14,0.20
305,61.0,0.18,0.16
306,61.2,0.20,0.14
307,61.4,0.24,0.10
308,61.6,0.28,0.06
309,61.8,0.30,0.04
310,62.0,0.34,0.00
311,62.2,0.36,-0.02
