Oscilloscope 1.6.3

Experiment
Jméno

L E G E N D
CH A	napìtí na primární cívce
CH B	proud na odporu

M E A S U R E
Channel	U rms	U mean	U max	U min	f
A	0,39 V	0,00 V	0,56 V	-0,56 V	50,00 Hz
B	0,35 V	0,00 V	0,50 V	-0,50 V	49,95 Hz


Time [ms]	CH A [V]	CH B [V]
46,6	0,48	-0,50
46,8	0,46	-0,50
47,0	0,44	-0,50
47,2	0,42	-0,50
47,4	0,40	-0,50
47,6	0,38	-0,50
47,8	0,36	-0,48
48,0	0,32	-0,48
48,2	0,30	-0,48
48,4	0,26	-0,46
48,6	0,22	-0,44
48,8	0,20	-0,44
49,0	0,16	-0,42
49,2	0,12	-0,40
49,4	0,10	-0,38
49,6	0,06	-0,36
49,8	0,02	-0,34
50,0	-0,02	-0,32
50,2	-0,04	-0,28
50,4	-0,08	-0,26
50,6	-0,12	-0,22
50,8	-0,14	-0,20
51,0	-0,18	-0,18
51,2	-0,22	-0,14
51,4	-0,24	-0,10
51,6	-0,28	-0,08
51,8	-0,30	-0,04
52,0	-0,34	-0,02
52,2	-0,36	0,02
52,4	-0,38	0,06
52,6	-0,40	0,08
52,8	-0,42	0,12
53,0	-0,44	0,14
53,2	-0,46	0,18
53,4	-0,48	0,20
53,6	-0,50	0,24
53,8	-0,52	0,26
54,0	-0,52	0,28
54,2	-0,54	0,32
54,4	-0,54	0,34
54,6	-0,56	0,36
54,8	-0,56	0,38
55,0	-0,56	0,40
55,2	-0,56	0,42
55,4	-0,56	0,42
55,6	-0,54	0,44
55,8	-0,54	0,46
56,0	-0,52	0,46
56,2	-0,52	0,48
56,4	-0,50	0,48
56,6	-0,48	0,48
56,8	-0,46	0,50
57,0	-0,44	0,50
57,2	-0,42	0,50
57,4	-0,40	0,50
57,6	-0,38	0,48
57,8	-0,36	0,48
58,0	-0,32	0,48
58,2	-0,30	0,46
58,4	-0,26	0,46
58,6	-0,24	0,44
58,8	-0,20	0,42
59,0	-0,16	0,40
59,2	-0,12	0,38
59,4	-0,10	0,38
59,6	-0,06	0,34
59,8	-0,02	0,32
60,0	0,00	0,30
60,2	0,04	0,28
60,4	0,08	0,26
60,6	0,12	0,22
60,8	0,14	0,20
61,0	0,18	0,16
61,2	0,20	0,14
61,4	0,24	0,10
61,6	0,28	0,06
61,8	0,30	0,04
62,0	0,34	0,00
62,2	0,36	-0,02
62,4	0,38	-0,06
62,6	0,40	-0,10
62,8	0,42	-0,12
63,0	0,44	-0,16
63,2	0,46	-0,18
