Oscilloscope 1.6.3

Experiment
Jméno

L E G E N D
CH A	napìtí na primární cívce
CH B	proud na odporu

M E A S U R E
Channel	U rms	U mean	U max	U min	f
A	0,00 V	0,00 V	1,20 V	-1,20 V	50,00 Hz
B	0,00 V	0,00 V	0,84 V	-0,84 V	50,00 Hz


Time [ms]	CH A [V]	CH B [V]
46,4	-0,92	0,38
46,6	-1,00	0,48
46,8	-1,08	0,56
47,0	-1,14	0,64
47,2	-1,18	0,70
47,4	-1,20	0,76
47,6	-1,20	0,80
47,8	-1,18	0,82
48,0	-1,14	0,84
48,2	-1,08	0,84
48,4	-1,00	0,82
48,6	-0,92	0,80
48,8	-0,82	0,78
49,0	-0,70	0,72
49,2	-0,58	0,66
49,4	-0,44	0,60
49,6	-0,28	0,52
49,8	-0,14	0,44
50,0	0,02	0,34
50,2	0,16	0,24
50,4	0,30	0,14
50,6	0,44	0,02
50,8	0,58	-0,08
51,0	0,70	-0,18
51,2	0,82	-0,28
51,4	0,92	-0,38
51,6	1,00	-0,48
51,8	1,08	-0,56
52,0	1,14	-0,64
52,2	1,18	-0,70
52,4	1,20	-0,76
52,6	1,20	-0,80
52,8	1,18	-0,82
53,0	1,14	-0,84
53,2	1,08	-0,84
53,4	1,00	-0,84
53,6	0,92	-0,82
53,8	0,82	-0,78
54,0	0,70	-0,74
54,2	0,56	-0,68
54,4	0,42	-0,60
54,6	0,28	-0,52
54,8	0,14	-0,44
55,0	-0,02	-0,34
55,2	-0,16	-0,24
55,4	-0,30	-0,14
55,6	-0,44	-0,04
55,8	-0,58	0,08
56,0	-0,70	0,18
56,2	-0,82	0,28
56,4	-0,92	0,38
56,6	-1,00	0,48
56,8	-1,08	0,56
57,0	-1,14	0,64
57,2	-1,18	0,70
57,4	-1,20	0,76
57,6	-1,20	0,80
57,8	-1,18	0,82
58,0	-1,14	0,84
58,2	-1,08	0,84
58,4	-1,00	0,82
58,6	-0,92	0,80
58,8	-0,82	0,78
59,0	-0,70	0,72
59,2	-0,56	0,66
59,4	-0,44	0,60
59,6	-0,28	0,52
59,8	-0,14	0,44
60,0	0,02	0,34
60,2	0,16	0,24
60,4	0,30	0,14
60,6	0,44	0,02
60,8	0,58	-0,08
61,0	0,70	-0,18
61,2	0,82	-0,28
61,4	0,92	-0,38
61,6	1,00	-0,48
61,8	1,08	-0,56
62,0	1,14	-0,64
62,2	1,18	-0,70
62,4	1,20	-0,76
62,6	1,20	-0,80
62,8	1,18	-0,82
63,0	1,14	-0,84
63,2	1,08	-0,84
63,4	1,00	-0,84
63,6	0,92	-0,82
63,8	0,82	-0,78
64,0	0,70	-0,74
64,2	0,56	-0,68
64,4	0,44	-0,60
64,6	0,28	-0,52
64,8	0,14	-0,44
65,0	-0,02	-0,34
65,2	-0,16	-0,24
65,4	-0,30	-0,14
65,6	-0,44	-0,04
65,8	-0,58	0,08
66,0	-0,70	0,18
66,2	-0,82	0,28
66,4	-0,92	0,38
66,6	-1,02	0,48
66,8	-1,08	0,56
67,0	-1,14	0,64
67,2	-1,18	0,70
67,4	-1,20	0,76
67,6	-1,20	0,80
67,8	-1,18	0,82
68,0	-1,14	0,84
68,2	-1,08	0,84
68,4	-1,00	0,84
68,6	-0,92	0,80
68,8	-0,82	0,78
69,0	-0,70	0,72
69,2	-0,56	0,66
69,4	-0,44	0,60
69,6	-0,28	0,52
69,8	-0,14	0,44
70,0	0,02	0,34
70,2	0,16	0,24
70,4	0,30	0,14
70,6	0,44	0,02
70,8	0,58	-0,08
71,0	0,70	-0,18
71,2	0,82	-0,30
71,4	0,92	-0,38
71,6	1,00	-0,48
71,8	1,08	-0,56
72,0	1,14	-0,64
72,2	1,18	-0,70
72,4	1,20	-0,76
72,6	1,20	-0,80
72,8	1,18	-0,82
73,0	1,14	-0,84
73,2	1,08	-0,84
73,4	1,00	-0,84
73,6	0,92	-0,82
73,8	0,82	-0,78
74,0	0,70	-0,74
74,2	0,56	-0,68
74,4	0,42	-0,60
74,6	0,28	-0,52
74,8	0,14	-0,44
75,0	-0,02	-0,34
75,2	-0,16	-0,24
75,4	-0,30	-0,14
75,6	-0,44	-0,04
75,8	-0,58	0,08
76,0	-0,70	0,18
76,2	-0,82	0,28
76,4	-0,92	0,38
76,6	-1,00	0,48
76,8	-1,08	0,56
77,0	-1,14	0,64
77,2	-1,18	0,70
77,4	-1,20	0,76
77,6	-1,20	0,80
77,8	-1,18	0,82
78,0	-1,14	0,84
78,2	-1,08	0,84
78,4	-1,00	0,84
78,6	-0,92	0,80
78,8	-0,82	0,78
79,0	-0,70	0,72
79,2	-0,58	0,66
79,4	-0,44	0,60
79,6	-0,28	0,52
79,8	-0,14	0,44
80,0	0,02	0,34
80,2	0,16	0,24
80,4	0,30	0,14
80,6	0,44	0,02
80,8	0,58	-0,08
81,0	0,70	-0,18
81,2	0,82	-0,30
81,4	0,92	-0,38
81,6	1,00	-0,48
81,8	1,08	-0,56
82,0	1,14	-0,64
82,2	1,18	-0,70
82,4	1,20	-0,76
82,6	1,20	-0,80
82,8	1,18	-0,82
83,0	1,14	-0,84
83,2	1,08	-0,84
83,4	1,00	-0,84
83,6	0,92	-0,82
83,8	0,82	-0,78
84,0	0,70	-0,74
84,2	0,56	-0,68
84,4	0,42	-0,60
84,6	0,28	-0,52
84,8	0,14	-0,44
85,0	-0,02	-0,34
85,2	-0,16	-0,24
85,4	-0,30	-0,14
85,6	-0,44	-0,04
85,8	-0,58	0,08
86,0	-0,70	0,18
86,2	-0,82	0,28
86,4	-0,92	0,38
86,6	-1,02	0,48
86,8	-1,08	0,56
87,0	-1,14	0,64
87,2	-1,18	0,70
87,4	-1,20	0,76
87,6	-1,20	0,80
87,8	-1,18	0,82
88,0	-1,14	0,84
88,2	-1,08	0,84
88,4	-1,00	0,84
88,6	-0,92	0,80
88,8	-0,82	0,78
89,0	-0,70	0,72
89,2	-0,58	0,66
89,4	-0,44	0,60
89,6	-0,28	0,52
89,8	-0,14	0,44
90,0	0,02	0,34
90,2	0,16	0,24
90,4	0,30	0,14
90,6	0,44	0,02
90,8	0,58	-0,08
91,0	0,70	-0,18
91,2	0,82	-0,28
91,4	0,92	-0,38
91,6	1,00	-0,48
91,8	1,08	-0,56
92,0	1,14	-0,64
92,2	1,18	-0,70
92,4	1,20	-0,76
92,6	1,20	-0,80
92,8	1,18	-0,82
93,0	1,14	-0,84
93,2	1,08	-0,84
93,4	1,00	-0,84
93,6	0,92	-0,82
93,8	0,82	-0,78
94,0	0,70	-0,74
94,2	0,56	-0,68
94,4	0,44	-0,60
94,6	0,28	-0,52
94,8	0,14	-0,44
95,0	-0,02	-0,34
95,2	-0,16	-0,24
95,4	-0,30	-0,14
95,6	-0,44	-0,04
95,8	-0,58	0,08
96,0	-0,70	0,18
96,2	-0,82	0,28
96,4	-0,92	0,38
96,6	-1,00	0,48
96,8	-1,08	0,56
97,0	-1,14	0,64
97,2	-1,18	0,70
97,4	-1,20	0,76
97,6	-1,20	0,80
97,8	-1,18	0,82
98,0	-1,14	0,84
98,2	-1,08	0,84
98,4	-1,00	0,84
98,6	-0,92	0,80
98,8	-0,82	0,78
99,0	-0,70	0,72
99,2	-0,56	0,66
99,4	-0,44	0,60
99,6	-0,28	0,52
99,8	-0,14	0,44
100,0	0,02	0,34
