Oscilloscope 1.6.3

Experiment
Jméno

L E G E N D
CH A	napìtí na primární cívce
CH B	proud na odporu

M E A S U R E
Channel	U rms	U mean	U max	U min	f
A	0,00 V	0,00 V	0,16 V	-0,16 V	50,00 Hz
B	0,00 V	0,00 V	1,84 V	-1,84 V	50,00 Hz


Time [ms]	CH A [V]	CH B [V]
63,4	0,12	-1,50
63,6	0,12	-1,34
63,8	0,10	-1,18
64,0	0,08	-0,98
64,2	0,06	-0,78
64,4	0,04	-0,56
64,6	0,02	-0,34
64,8	0,00	-0,10
65,0	-0,02	0,12
65,2	-0,04	0,34
65,4	-0,04	0,58
65,6	-0,06	0,78
65,8	-0,08	0,98
66,0	-0,10	1,18
66,2	-0,12	1,34
66,4	-0,12	1,50
66,6	-0,14	1,62
66,8	-0,14	1,72
67,0	-0,16	1,78
67,2	-0,16	1,82
67,4	-0,16	1,84
67,6	-0,16	1,82
67,8	-0,14	1,78
68,0	-0,14	1,70
68,2	-0,14	1,60
68,4	-0,12	1,48
68,6	-0,12	1,34
68,8	-0,10	1,16
69,0	-0,08	0,98
69,2	-0,06	0,78
69,4	-0,04	0,56
69,6	-0,02	0,34
69,8	0,00	0,10
70,0	0,00	-0,12
70,2	0,04	-0,36
70,4	0,04	-0,58
70,6	0,06	-0,80
70,8	0,08	-1,00
71,0	0,10	-1,18
71,2	0,12	-1,36
71,4	0,12	-1,50
71,6	0,14	-1,62
71,8	0,14	-1,72
72,0	0,16	-1,80
72,2	0,16	-1,84
72,4	0,16	-1,84
72,6	0,16	-1,84
72,8	0,14	-1,78
73,0	0,14	-1,72
73,2	0,14	-1,62
73,4	0,12	-1,50
73,6	0,12	-1,34
73,8	0,10	-1,16
74,0	0,08	-0,98
74,2	0,06	-0,78
74,4	0,04	-0,56
74,6	0,02	-0,34
74,8	0,00	-0,10
75,0	-0,02	0,12
75,2	-0,04	0,34
75,4	-0,06	0,58
75,6	-0,06	0,78
75,8	-0,08	0,98
76,0	-0,10	1,18
76,2	-0,12	1,34
76,4	-0,12	1,50
76,6	-0,14	1,62
76,8	-0,14	1,72
77,0	-0,16	1,78
77,2	-0,16	1,82
77,4	-0,16	1,84
77,6	-0,16	1,82
77,8	-0,16	1,78
78,0	-0,14	1,70
78,2	-0,14	1,60
78,4	-0,12	1,48
78,6	-0,12	1,34
78,8	-0,10	1,16
79,0	-0,08	0,98
79,2	-0,06	0,78
79,4	-0,04	0,56
79,6	-0,02	0,34
79,8	0,00	0,10
80,0	0,02	-0,12
80,2	0,02	-0,36
80,4	0,04	-0,58
80,6	0,06	-0,80
80,8	0,08	-1,00
81,0	0,10	-1,18
81,2	0,12	-1,36
81,4	0,12	-1,50
81,6	0,14	-1,62
81,8	0,14	-1,72
82,0	0,14	-1,80
82,2	0,16	-1,84
82,4	0,16	-1,84
82,6	0,16	-1,84
82,8	0,14	-1,78
83,0	0,14	-1,72
83,2	0,14	-1,62
83,4	0,12	-1,50
83,6	0,12	-1,34
83,8	0,10	-1,16
84,0	0,08	-0,98
84,2	0,06	-0,78
84,4	0,04	-0,56
84,6	0,02	-0,34
84,8	0,00	-0,10
85,0	-0,02	0,12
85,2	-0,04	0,34
85,4	-0,06	0,58
85,6	-0,06	0,78
85,8	-0,08	0,98
86,0	-0,10	1,18
86,2	-0,12	1,34
86,4	-0,12	1,50
86,6	-0,14	1,62
86,8	-0,14	1,72
87,0	-0,16	1,78
87,2	-0,16	1,82
87,4	-0,16	1,84
87,6	-0,16	1,82
87,8	-0,16	1,78
88,0	-0,14	1,70
88,2	-0,14	1,60
88,4	-0,12	1,48
88,6	-0,12	1,34
88,8	-0,10	1,16
89,0	-0,08	0,98
89,2	-0,06	0,78
89,4	-0,04	0,56
89,6	-0,02	0,32
89,8	0,00	0,10
90,0	0,02	-0,12
90,2	0,04	-0,36
90,4	0,04	-0,58
90,6	0,06	-0,80
90,8	0,08	-1,00
91,0	0,10	-1,18
91,2	0,12	-1,36
91,4	0,12	-1,50
91,6	0,14	-1,62
91,8	0,14	-1,72
92,0	0,14	-1,80
92,2	0,16	-1,84
92,4	0,16	-1,84
92,6	0,16	-1,84
92,8	0,14	-1,78
93,0	0,14	-1,72
93,2	0,14	-1,62
93,4	0,12	-1,50
93,6	0,12	-1,34
93,8	0,10	-1,18
94,0	0,08	-0,98
94,2	0,06	-0,78
94,4	0,04	-0,56
94,6	0,02	-0,34
94,8	0,00	-0,12
95,0	-0,02	0,12
95,2	-0,04	0,34
95,4	-0,06	0,58
95,6	-0,06	0,78
95,8	-0,08	0,98
96,0	-0,10	1,18
96,2	-0,12	1,34
96,4	-0,12	1,50
96,6	-0,14	1,62
96,8	-0,14	1,72
97,0	-0,16	1,78
97,2	-0,16	1,82
97,4	-0,16	1,84
97,6	-0,16	1,82
97,8	-0,16	1,78
98,0	-0,14	1,70
98,2	-0,14	1,60
98,4	-0,12	1,48
98,6	-0,12	1,34
98,8	-0,10	1,16
99,0	-0,08	0,98
99,2	-0,06	0,78
99,4	-0,04	0,56
99,6	-0,02	0,32
99,8	0,00	0,10
100,0	0,02	-0,12
