Oscilloscope 1.6.3

Experiment
Jméno

L E G E N D
CH A	napìtí na primární cívce
CH B	proud na odporu

M E A S U R E
Channel	U rms	U mean	U max	U min	f
A	0,00 V	0,00 V	0,16 V	-0,16 V	50,00 Hz
B	0,00 V	0,00 V	1,84 V	-1,84 V	50,00 Hz


Time [ms]	CH A [V]	CH B [V]
0,0	0,02	-0,12
0,2	0,02	-0,36
0,4	0,04	-0,58
0,6	0,06	-0,80
0,8	0,08	-1,00
1,0	0,10	-1,18
1,2	0,12	-1,36
1,4	0,12	-1,50
1,6	0,14	-1,62
1,8	0,14	-1,72
2,0	0,14	-1,80
2,2	0,16	-1,84
2,4	0,16	-1,84
2,6	0,16	-1,84
2,8	0,14	-1,78
3,0	0,14	-1,72
3,2	0,14	-1,62
3,4	0,12	-1,50
3,6	0,12	-1,34
3,8	0,10	-1,18
4,0	0,08	-0,98
4,2	0,06	-0,78
4,4	0,04	-0,56
4,6	0,02	-0,34
4,8	0,00	-0,10
5,0	-0,02	0,12
5,2	-0,04	0,34
5,4	-0,06	0,58
5,6	-0,06	0,78
5,8	-0,08	0,98
6,0	-0,10	1,18
6,2	-0,12	1,34
6,4	-0,12	1,50
6,6	-0,14	1,62
6,8	-0,14	1,72
7,0	-0,16	1,78
7,2	-0,16	1,82
7,4	-0,16	1,84
7,6	-0,16	1,82
7,8	-0,16	1,78
8,0	-0,14	1,70
8,2	-0,14	1,60
8,4	-0,12	1,48
8,6	-0,12	1,34
8,8	-0,10	1,16
9,0	-0,08	0,98
9,2	-0,06	0,78
9,4	-0,04	0,56
9,6	-0,02	0,34
9,8	0,00	0,10
10,0	0,02	-0,12
10,2	0,04	-0,36
10,4	0,04	-0,58
10,6	0,06	-0,80
10,8	0,08	-1,00
11,0	0,10	-1,18
11,2	0,12	-1,36
11,4	0,12	-1,50
11,6	0,14	-1,62
11,8	0,14	-1,72
12,0	0,16	-1,80
12,2	0,16	-1,84
12,4	0,16	-1,84
12,6	0,16	-1,84
12,8	0,14	-1,78
13,0	0,14	-1,72
13,2	0,14	-1,62
13,4	0,12	-1,50
13,6	0,12	-1,34
13,8	0,10	-1,18
14,0	0,08	-0,98
14,2	0,06	-0,78
14,4	0,04	-0,56
14,6	0,02	-0,34
14,8	0,00	-0,10
15,0	-0,02	0,12
15,2	-0,04	0,34
15,4	-0,06	0,58
15,6	-0,06	0,78
15,8	-0,08	0,98
16,0	-0,10	1,18
16,2	-0,12	1,34
16,4	-0,12	1,50
16,6	-0,14	1,62
16,8	-0,14	1,72
17,0	-0,16	1,78
17,2	-0,16	1,82
17,4	-0,16	1,84
17,6	-0,16	1,82
17,8	-0,16	1,78
18,0	-0,14	1,70
18,2	-0,14	1,60
18,4	-0,12	1,48
18,6	-0,12	1,34
18,8	-0,10	1,16
19,0	-0,08	0,98
19,2	-0,06	0,78
19,4	-0,04	0,56
19,6	-0,02	0,34
19,8	0,00	0,10
20,0	0,02	-0,12
20,2	0,02	-0,36
20,4	0,04	-0,58
20,6	0,06	-0,80
20,8	0,08	-1,00
21,0	0,10	-1,18
21,2	0,12	-1,36
21,4	0,12	-1,50
21,6	0,14	-1,62
21,8	0,14	-1,72
22,0	0,14	-1,80
22,2	0,16	-1,84
22,4	0,16	-1,84
22,6	0,16	-1,84
22,8	0,14	-1,78
23,0	0,14	-1,72
23,2	0,14	-1,62
23,4	0,12	-1,50
23,6	0,12	-1,34
23,8	0,10	-1,18
24,0	0,08	-0,98
24,2	0,06	-0,78
24,4	0,04	-0,56
24,6	0,02	-0,34
24,8	0,00	-0,10
25,0	-0,02	0,12
25,2	-0,04	0,34
25,4	-0,06	0,58
25,6	-0,06	0,78
25,8	-0,08	0,98
26,0	-0,10	1,18
26,2	-0,12	1,34
26,4	-0,12	1,50
26,6	-0,14	1,62
26,8	-0,14	1,72
27,0	-0,16	1,78
27,2	-0,16	1,82
27,4	-0,16	1,84
27,6	-0,16	1,82
27,8	-0,14	1,78
28,0	-0,14	1,70
28,2	-0,14	1,60
28,4	-0,12	1,48
28,6	-0,12	1,34
28,8	-0,10	1,16
29,0	-0,08	0,98
29,2	-0,06	0,78
29,4	-0,04	0,56
29,6	-0,02	0,34
29,8	0,00	0,10
30,0	0,02	-0,12
30,2	0,04	-0,36
30,4	0,04	-0,58
30,6	0,06	-0,80
30,8	0,08	-1,00
31,0	0,10	-1,18
31,2	0,12	-1,36
31,4	0,12	-1,50
31,6	0,14	-1,62
31,8	0,14	-1,72
32,0	0,16	-1,80
32,2	0,16	-1,84
32,4	0,16	-1,84
32,6	0,16	-1,84
32,8	0,14	-1,78
33,0	0,14	-1,72
33,2	0,14	-1,62
33,4	0,12	-1,50
33,6	0,12	-1,34
33,8	0,10	-1,16
34,0	0,08	-0,98
34,2	0,06	-0,78
34,4	0,04	-0,56
34,6	0,02	-0,34
34,8	0,00	-0,10
35,0	-0,02	0,12
35,2	-0,04	0,34
35,4	-0,06	0,58
35,6	-0,06	0,78
35,8	-0,08	0,98
36,0	-0,10	1,18
36,2	-0,12	1,34
36,4	-0,12	1,50
36,6	-0,14	1,62
36,8	-0,14	1,72
37,0	-0,16	1,78
37,2	-0,16	1,82
37,4	-0,16	1,84
37,6	-0,16	1,82
37,8	-0,16	1,78
38,0	-0,14	1,70
38,2	-0,14	1,60
38,4	-0,12	1,48
38,6	-0,12	1,34
38,8	-0,10	1,16
39,0	-0,08	0,98
39,2	-0,06	0,78
39,4	-0,04	0,56
39,6	-0,02	0,34
39,8	0,00	0,10
40,0	0,02	-0,12
40,2	0,04	-0,36
40,4	0,04	-0,58
40,6	0,06	-0,80
40,8	0,08	-1,00
41,0	0,10	-1,18
41,2	0,12	-1,36
41,4	0,12	-1,50
41,6	0,14	-1,62
41,8	0,14	-1,72
42,0	0,14	-1,80
42,2	0,16	-1,84
42,4	0,16	-1,84
42,6	0,16	-1,84
42,8	0,14	-1,78
43,0	0,14	-1,72
43,2	0,14	-1,62
43,4	0,12	-1,50
43,6	0,12	-1,34
43,8	0,10	-1,16
44,0	0,08	-0,98
44,2	0,06	-0,78
44,4	0,04	-0,56
44,6	0,02	-0,34
44,8	0,00	-0,10
45,0	-0,02	0,12
45,2	-0,04	0,34
45,4	-0,06	0,58
45,6	-0,06	0,78
45,8	-0,08	0,98
46,0	-0,10	1,18
46,2	-0,12	1,34
46,4	-0,12	1,50
46,6	-0,14	1,62
46,8	-0,14	1,72
47,0	-0,16	1,78
47,2	-0,16	1,82
47,4	-0,16	1,84
47,6	-0,16	1,82
47,8	-0,16	1,78
48,0	-0,14	1,70
48,2	-0,14	1,60
48,4	-0,12	1,48
48,6	-0,12	1,34
48,8	-0,10	1,16
49,0	-0,08	0,98
49,2	-0,06	0,78
49,4	-0,04	0,56
49,6	-0,02	0,32
49,8	0,00	0,10
50,0	0,02	-0,12
50,2	0,04	-0,36
50,4	0,04	-0,58
50,6	0,06	-0,80
50,8	0,08	-1,00
51,0	0,10	-1,18
51,2	0,12	-1,36
51,4	0,12	-1,50
51,6	0,14	-1,62
51,8	0,14	-1,72
52,0	0,16	-1,80
52,2	0,16	-1,84
52,4	0,16	-1,84
52,6	0,16	-1,84
52,8	0,14	-1,80
53,0	0,14	-1,72
53,2	0,14	-1,62
53,4	0,12	-1,48
53,6	0,12	-1,34
53,8	0,10	-1,16
54,0	0,08	-0,98
54,2	0,06	-0,78
54,4	0,04	-0,56
54,6	0,02	-0,34
54,8	0,00	-0,10
55,0	-0,02	0,12
55,2	-0,04	0,34
55,4	-0,06	0,58
55,6	-0,06	0,78
55,8	-0,08	0,98
56,0	-0,10	1,18
56,2	-0,12	1,34
56,4	-0,12	1,50
56,6	-0,14	1,62
56,8	-0,14	1,72
57,0	-0,16	1,78
57,2	-0,16	1,82
57,4	-0,16	1,84
57,6	-0,16	1,82
57,8	-0,16	1,78
58,0	-0,14	1,70
58,2	-0,14	1,60
58,4	-0,12	1,48
58,6	-0,12	1,34
58,8	-0,10	1,16
59,0	-0,08	0,98
59,2	-0,06	0,78
59,4	-0,04	0,56
59,6	-0,02	0,32
59,8	0,00	0,10
60,0	0,02	-0,12
60,2	0,04	-0,36
60,4	0,04	-0,58
60,6	0,06	-0,80
60,8	0,08	-1,00
61,0	0,10	-1,18
61,2	0,12	-1,36
61,4	0,12	-1,50
61,6	0,14	-1,62
61,8	0,14	-1,72
62,0	0,16	-1,80
62,2	0,16	-1,84
62,4	0,16	-1,84
62,6	0,16	-1,84
62,8	0,14	-1,78
63,0	0,14	-1,72
63,2	0,14	-1,62
