43,2	0,94	-0,40
43,4	0,98	-0,46
43,6	1,02	-0,50
43,8	1,04	-0,56
44,0	1,08	-0,60
44,2	1,10	-0,64
44,4	1,10	-0,68
44,6	1,12	-0,72
44,8	1,12	-0,76
45,0	1,12	-0,80
45,2	1,12	-0,84
45,4	1,12	-0,86
45,6	1,12	-0,88
45,8	1,10	-0,90
46,0	1,08	-0,92
46,2	1,06	-0,94
46,4	1,02	-0,94
46,6	1,00	-0,96
46,8	0,96	-0,96
47,0	0,92	-0,96
47,2	0,88	-0,94
47,4	0,84	-0,94
47,6	0,78	-0,94
47,8	0,72	-0,92
48,0	0,66	-0,90
48,2	0,60	-0,88
48,4	0,54	-0,86
48,6	0,48	-0,82
48,8	0,42	-0,80
49,0	0,34	-0,76
49,2	0,28	-0,72
49,4	0,20	-0,68
49,6	0,12	-0,64
49,8	0,06	-0,60
50,0	-0,02	-0,54
50,2	-0,08	-0,50
50,4	-0,16	-0,44
50,6	-0,22	-0,38
50,8	-0,30	-0,32
51,0	-0,36	-0,28
51,2	-0,42	-0,22
51,4	-0,48	-0,16
51,6	-0,54	-0,10
51,8	-0,60	-0,02
52,0	-0,66	0,04
52,2	-0,72	0,10
52,4	-0,76	0,16
52,6	-0,82	0,22
52,8	-0,86	0,28
53,0	-0,90	0,34
53,2	-0,96	0,38
53,4	-0,98	0,44
53,6	-1,02	0,50
53,8	-1,04	0,54
54,0	-1,08	0,60
54,2	-1,10	0,64
54,4	-1,10	0,68
54,6	-1,12	0,72
54,8	-1,12	0,76
55,0	-1,14	0,80
55,2	-1,14	0,82
55,4	-1,12	0,84
55,6	-1,12	0,88
55,8	-1,10	0,90
56,0	-1,08	0,92
56,2	-1,06	0,92
56,4	-1,02	0,94
56,6	-1,00	0,94
56,8	-0,96	0,94
57,0	-0,92	0,94
57,2	-0,88	0,94
57,4	-0,84	0,94
57,6	-0,78	0,92
57,8	-0,72	0,90
58,0	-0,66	0,90
58,2	-0,60	0,88
58,4	-0,54	0,84
58,6	-0,48	0,82
58,8	-0,42	0,78
59,0	-0,34	0,76
59,2	-0,28	0,72
59,4	-0,20	0,68
59,6	-0,14	0,64
59,8	-0,06	0,58
60,0	0,02	0,54
60,2	0,08	0,48
60,4	0,16	0,44
60,6	0,22	0,38
60,8	0,28	0,32
61,0	0,36	0,26
61,2	0,42	0,20
61,4	0,48	0,14
61,6	0,54	0,08
61,8	0,60	0,02
62,0	0,66	-0,04
62,2	0,72	-0,10
62,4	0,76	-0,16
62,6	0,82	-0,22
62,8	0,86	-0,28
63,0	0,90	-0,34
63,2	0,94	-0,40
63,4	0,98	-0,44
63,6	1,02	-0,50
63,8	1,04	-0,56
64,0	1,08	-0,60
64,2	1,10	-0,64
64,4	1,10	-0,68
64,6	1,12	-0,72
64,8	1,12	-0,76
65,0	1,14	-0,80
65,2	1,14	-0,84
65,4	1,12	-0,86
65,6	1,12	-0,88
65,8	1,10	-0,90
66,0	1,08	-0,92
66,2	1,06	-0,94
66,4	1,02	-0,94
66,6	1,00	-0,96
66,8	0,96	-0,96
